,Net_ORPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,ORPM_adv_h,DRPM_adv_h,weighted_DRPM_a,Winpercent_h,Winpercent_a,weighted_ORPM_h,Def_Adv_h,PTS_a,+/-_a,3PA_h,3PAr_h,DRtg_h,DREB%_h,BLK_a,AST RATIO_a,FG_h
294,0.5653634380143798,0.6919795970792062,0.5777184990768081,0.167922306656327,0.4843118639295154,0.3783040392037667,0.4113142282487936,0.473684211,0.736842105,0.5463422269358388,0.4356712445083412,0.5255673557313667,0.5978302968821517,0.5000305936397071,0.4367449002839289,0.4907605120922687,0.07586463006647905,0.4274397488006519,0.1494014114501766,0.6360502810593204
295,0.32798313415728964,0.8626547486097667,0.7859094185604056,0.04324608006179054,0.2404522578226726,0.2231150714541556,0.5970159371534793,0.222222222,0.45,0.2668139342057508,0.5,0.4214727406622434,0.5172462883356753,0.40878759847633656,0.4916680703155526,0.629800223509579,0.0,0.4467209518377424,0.0,0.6130176545733989
296,0.8659201271369013,0.22541018852892405,0.2835221634087094,0.8458422078961091,0.8567621044224829,0.7754927517199832,0.2948567044561425,0.666666667,0.5,0.9970463722536752,0.4160189961872375,0.3487696734520813,0.44570427253017175,0.29326545743864063,0.4917385697602293,0.3475464969349009,0.21866754617414244,0.4091364659065872,0.2205388314340294,0.3226886705041818
297,0.3001797134138641,0.5504877558041756,0.5941556045712565,0.5030543734698162,0.4234516501674904,0.3152494744423524,0.8725554245851114,0.5,0.5,0.4410589049062372,0.4774397690767176,0.5500375487500108,0.3642399563046824,0.19627726722789635,0.364269975905661,0.5873020455401748,0.4037870557193853,0.5976439855134772,0.17709211344112116,0.28228751867386104
298,0.491862782250337,0.3848905080328853,0.6987992136552656,1.0,0.4263622913592496,0.7093555370242204,0.5812889259515593,0.45,0.578947368,0.5515237963737649,0.2262952795098617,0.4085635534626717,0.5719196316652895,0.4226086621123895,0.476186187796896,0.5805269442129244,0.3703397936955055,0.4551085364979486,0.3551540875369575,0.4460812439490144
299,0.4922856556264996,0.8152708065832746,1.0,0.4112298027633156,0.2430568626983965,0.4555415002708727,0.5001468022215703,0.368421053,0.5,0.4861137253967932,0.2925164518409746,0.50714237929465,0.491384680912288,0.6741301150307719,0.6272856839608566,0.5022772052100481,0.0,0.7631492847458461,0.3591368643428399,0.8405431158083572
300,0.6544349625953284,0.7150908851686777,0.5546351124703113,0.0881706913198198,0.5620083860480831,0.35645637123091944,0.37525794885798097,0.65,0.578947368,0.6786518845664776,0.4556793568168869,0.6354619598134388,0.5144778293733223,0.7540291998776659,0.5964155877539177,0.4335013885008657,0.10913006363495263,0.8249075586326085,0.07594985960429812,0.95346080017303
301,0.6759524610810148,0.3219916350155432,0.1504652452269104,0.4676960094354149,0.6894024735112741,0.6617494459306276,0.14419711757415982,0.588235294,0.333333333,0.5292701922494587,0.3910133518246587,0.6491874882949455,0.43230131861657534,0.2828429635529224,0.26995972983096433,0.4934615495144413,0.17336974648389647,0.4826930680544451,0.0,0.3428600135348732
302,0.3318334504961711,0.5522242721002691,0.4873823565901279,0.3682716002488525,0.41177200276976,0.3628698504717395,0.6425318993053736,0.6315789470000001,0.80952381,0.3109263621296478,0.2461355849241311,0.4957489187539714,0.7280729696235615,0.5186744731852655,0.4529805254181384,0.5398100201144381,0.31878317553934493,0.5656153236954949,0.5294117647058826,0.7445443259312146
303,0.4040564667619919,0.16703961636421674,0.0,0.6281493616650122,0.6744081209025404,0.5499685539149588,0.5282122538350946,0.368421053,0.2,0.3488162418050809,0.5070797157083953,0.5281742482932198,0.3467692555394897,0.6295715600311163,0.675948653612592,0.6709498461386892,0.07757449945677478,0.6490665858532312,0.04173638100256901,0.6254019619845359
304,0.3565195321101733,0.8341020976973794,0.6987992136552656,0.0,0.303499094167318,0.2093555370242204,0.5812889259515593,0.210526316,0.6,0.3057974019899016,0.5,0.3534364857147729,0.6062714046975196,0.4670295679802645,0.5305357127476094,0.6663420534617187,0.0,0.42785671044834217,0.0,0.7118456845775646
305,0.26184060579944457,0.5784270689587065,0.5515237963737649,0.3885862248190651,0.4619342850352261,0.19429311240953265,1.0,0.380952381,0.428571429,0.4753923664442171,0.5211501113163753,0.4540434035663182,0.231771923741125,0.4956115873936641,0.4464520324066861,0.5970660237703176,0.230410691056065,0.5316423857322851,0.19379062537849734,0.5689911968455414
306,0.5128514901121168,0.3737789433512768,0.0,0.167922306656327,0.7731711134679193,0.3198550264106162,0.5282122538350946,0.5,0.238095238,0.5463422269358388,0.5342799938820345,0.4433343014305644,0.40210131414686656,0.5739701187983585,0.5140348081234805,0.447666773245235,0.10229348487923684,0.6913734058205514,0.06182598714714636,0.704668982224487
307,0.8822980173810676,0.4978272809274258,0.4961749852144256,0.5001468022215703,0.7519125073927873,0.6190638887484246,0.2620190247247212,0.473684211,0.5,1.0,0.4950528047746643,0.6027921731943565,0.7364923598310673,0.5668880925593491,0.7700681718075966,0.5040778634278873,0.22640850535464846,0.5975648781730106,0.11147955563010467,0.4906524757846597
308,0.6180325877946771,0.4576936033558417,0.3057974019899016,0.3560630556189772,0.5003552482188205,0.6780315278094886,0.0,0.684210526,0.2,0.3065078984275426,0.542279499993675,0.631622008316684,0.24554907385202146,0.20972913951126196,0.4212858226039783,0.5315073608151442,0.19584144833352524,0.8420097043053879,0.09485541136947502,0.4326978856698256
309,0.693736507735078,0.3829558646337163,0.2151668246256263,0.4113142282487936,0.6812758372255907,0.6236515099141712,0.1640112084204512,0.7,0.238095238,0.5777184990768081,0.5158266327042283,0.28641760431068586,0.17666189227442608,0.5138774120228045,0.682020921166671,0.4251921987674692,0.05904273958311665,0.19517562902522426,0.06357152790194093,0.5851390292284421
310,0.7886658827805172,0.620850174089558,0.7985372501590986,0.5970159371534793,0.4936860842006535,0.6945307912844816,0.20795435458451625,0.476190476,0.5,0.7859094185604056,0.5869595645672829,0.43167302917968176,0.4983311646892622,0.37611719484547823,0.5219843678097988,0.5025302624018756,0.2245189108281473,0.3915128629828161,0.1251564455569462,0.6189240442643477
311,0.5074125293453942,0.4909795409240122,0.4861137253967932,0.5030543734698162,0.47747258975472207,0.5459122853532503,0.4112298027633156,0.476190476,0.4,0.4410589049062372,0.8300565617012021,0.8551913863854026,0.5216282390999607,0.2613833246702638,0.37132456545519377,0.7109346249239209,0.4953421328111327,0.9999999999999998,0.0,0.3166311870138971
312,0.7642323655360862,0.34059321722167585,0.2668139342057508,0.5689443482752754,0.6702009247545282,0.7628491341067425,0.04324608006179054,0.6315789470000001,0.210526316,0.6072157837148073,0.5,0.492690462713477,0.3983828671857445,0.3566685928809372,0.5852656228009336,0.481549086962628,0.0,0.3057953455276737,0.0,0.4029226846133438
313,0.7495328586656931,0.1814117666692348,0.1504652452269104,0.7806440089545374,0.7561979944444921,0.8182234456901888,0.14419711757415982,0.636363636,0.318181818,0.6628612341158947,0.4009069554835585,0.6099821032780802,0.4455824416628657,0.7606005560690209,0.8267990852649911,0.4610160131446328,0.1386957971871171,0.4813570467262787,0.17879492222420884,0.8104860972965463
314,0.6560882579823146,0.5222017637529033,0.2835221634087094,0.1851478223268363,0.6662789123135839,0.4451455589353469,0.2948567044561425,0.6,0.476190476,0.6160799880358772,0.3186479490242931,0.3142782400382181,0.4155375190821201,0.4089336329750754,0.5478461896157293,0.7634377577796404,0.1982646833522753,0.3216655143982253,0.23990094000479326,0.4201351879934653
315,0.49357645909720504,0.6655318779566484,0.6987992136552656,0.37525794885798097,0.4279179494075228,0.3969845114532108,0.5812889259515593,0.55,0.6190476189999999,0.5546351124703113,0.7217325763901761,0.3841221574335187,0.6437239440305792,0.4865378713927026,0.5744104437770596,0.7182209755550273,0.7013253850352806,0.35779826069621185,0.6282158253372272,0.6248271622378969
316,0.3368266491994568,0.4905963388038841,0.3065078984275426,0.28368869353075266,0.38992298577419293,0.4638128189558877,0.3560630556189772,0.5,0.7,0.08635386997592859,0.3742861804535813,0.38853536469443306,0.5175973656602672,0.5256493573356994,0.6717800119504508,0.6249163193615824,0.2643145620680203,0.3666009073523403,0.4572737198093362,0.7938684550602242
317,0.3376940202620067,0.7097404001717654,0.9970463722536752,0.6425318993053736,0.2451679921682263,0.3983448457046323,0.8458422078961091,0.818181818,0.681818182,0.4873823565901279,0.494009014521129,0.4677699049925185,0.44361853686010294,0.2663898855772151,0.4636916702158757,0.3923919701565892,0.4656216048424646,0.7371141501672196,0.4806007509386736,0.4294305539025604
318,0.7570389702269129,0.2042076029927864,0.2668139342057508,0.8725554245851114,0.6636708351827528,0.9146546722616604,0.04324608006179054,0.523809524,0.2,0.5941556045712565,0.44323671497584544,0.5274892901749743,0.33218814884399583,0.3857757219252115,0.4552878264470271,0.4380976896384485,0.4154964268602933,0.277082003030358,0.3904881101376721,0.6092266508941466
