0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"M. Finley, .T. Duncan, .M. Ginobili, .T. Parker, .M. Bonner",SAS,1,0.9,3.0,1.0,2.0,50.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11-13-2007
"M. Finley, .F. Elson, .M. Ginobili, .M. Bonner, .D. Washington",SAS,1,0.8,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .M. Ginobili, .I. Mahinmi, .F. Oberto, .D. Washington",SAS,1,0.6,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,11-13-2007
"B. Bowen, .F. Elson, .M. Ginobili, .M. Bonner, .D. Washington",SAS,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,11-13-2007
"M. Finley, .B. Bowen, .T. Duncan, .I. Udoka, .D. Washington",SAS,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,11-13-2007
"B. Bowen, .M. Ginobili, .T. Parker, .M. Bonner, .F. Oberto",SAS,1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"B. Barry, .M. Finley, .I. Udoka, .I. Mahinmi, .D. Washington",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .B. Bowen, .I. Udoka, .F. Oberto, .D. Washington",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .B. Bowen, .I. Udoka, .I. Mahinmi, .D. Washington",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"M. Finley, .B. Bowen, .I. Udoka, .T. Parker, .I. Mahinmi",SAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11-13-2007
"C. Wilcox, .N. Collison, .D. West, .D. Wilkins, .K. Durant",SEA,1,6.5,12.0,5.0,15.0,33.3,0.0,2.0,0.0,2.0,2.0,100,4.0,3.0,7.0,1.0,3.0,2.0,0.0,1.0,4.0,2.0,-7.0,11-13-2007
"W. Szczerbiak, .E. Watson, .D. West, .J. Petro, .M. Gelabale",SEA,1,5.9,10.0,4.0,7.0,57.1,1.0,2.0,50.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,3.0,2.0,2.0,11-13-2007
"C. Wilcox, .N. Collison, .L. Ridnour, .D. Wilkins, .K. Durant",SEA,1,4.8,10.0,5.0,11.0,45.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,0.0,2.0,4.0,0.0,3.0,2.0,3.0,11-13-2007
"K. Thomas, .E. Watson, .D. Wilkins, .K. Durant, .J. Green",SEA,1,4.7,9.0,4.0,10.0,40.0,0.0,2.0,0.0,1.0,2.0,50.0,1.0,4.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,11-13-2007
"K. Thomas, .W. Szczerbiak, .E. Watson, .N. Collison, .J. Green",SEA,1,3.5,6.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,-8.0,11-13-2007
"W. Szczerbiak, .D. West, .J. Petro, .K. Durant, .J. Green",SEA,1,3.5,4.0,2.0,7.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,-4.0,11-13-2007
"C. Wilcox, .N. Collison, .L. Ridnour, .D. West, .J. Green",SEA,1,3.4,7.0,3.0,6.0,50.0,1.0,1.0,100,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,0.0,0.0,3.0,2.0,4.0,11-13-2007
"W. Szczerbiak, .D. West, .J. Petro, .M. Gelabale, .J. Green",SEA,1,2.7,6.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,11-13-2007
"N. Collison, .L. Ridnour, .D. West, .K. Durant, .J. Green",SEA,1,2.5,3.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,-5.0,11-13-2007
"K. Thomas, .W. Szczerbiak, .L. Ridnour, .D. West, .J. Green",SEA,1,2.2,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-6.0,11-13-2007
