,Visitor/Neutral,Home/Neutral,TEAM,GAMEDAY,SEASON,AWAYSCORE,HOMESCORE,GAMEDAY_FMT,AWAY,SEASON_FMT,TEAM_DECHANGED,AWAY_DECHANGED
3712,Los Angeles Clippers,Minnesota Timberwolves,MIN,2009-12-16,2009-10,120,95,2009-12-16,LAC,2009,MIN,LAC
3721,Cleveland Cavaliers,Philadelphia 76ers,PHI,2009-12-16,2009-10,108,101,2009-12-16,CLE,2009,PHI,CLE
3722,Toronto Raptors,Orlando Magic,ORL,2009-12-16,2009-10,99,118,2009-12-16,TOR,2009,ORL,TOR
3725,Utah Jazz,New Jersey Nets,NJN,2009-12-16,2009-10,108,92,2009-12-16,UTA,2009,BKN,UTA
3917,Los Angeles Lakers,Milwaukee Bucks,MIL,2009-12-16,2009-10,107,106,2009-12-16,LAL,2009,MIL,LAL
2761,New York Knicks,Chicago Bulls,CHI,2009-12-17,2009-10,89,98,2009-12-17,NYK,2009,CHI,NYK
2914,Orlando Magic,Miami Heat,MIA,2009-12-17,2009-10,86,104,2009-12-17,ORL,2009,MIA,ORL
3686,Phoenix Suns,Portland Trail Blazers,POR,2009-12-17,2009-10,102,105,2009-12-17,PHX,2009,POR,PHX
2752,New Jersey Nets,Toronto Raptors,TOR,2009-12-18,2009-10,95,118,2009-12-18,NJN,2009,TOR,BKN
2846,Philadelphia 76ers,Boston Celtics,BOS,2009-12-18,2009-10,98,97,2009-12-18,PHI,2009,BOS,PHI
2875,Los Angeles Clippers,New York Knicks,NYK,2009-12-18,2009-10,91,95,2009-12-18,LAC,2009,NYK,LAC
2984,Indiana Pacers,Memphis Grizzlies,MEM,2009-12-18,2009-10,94,107,2009-12-18,IND,2009,MEM,IND
3039,Utah Jazz,Atlanta Hawks,ATL,2009-12-18,2009-10,83,96,2009-12-18,UTA,2009,ATL,UTA
3101,Detroit Pistons,Oklahoma City Thunder,OKC,2009-12-18,2009-10,98,109,2009-12-18,DET,2009,OKC,DET
3396,Washington Wizards,Golden State Warriors,GSW,2009-12-18,2009-10,118,109,2009-12-18,WAS,2009,GSW,WAS
3565,Denver Nuggets,New Orleans Hornets,NOH,2009-12-18,2009-10,92,98,2009-12-18,DEN,2009,NOP,DEN
3626,Sacramento Kings,Minnesota Timberwolves,MIN,2009-12-18,2009-10,96,112,2009-12-18,SAC,2009,MIN,SAC
3754,Houston Rockets,Dallas Mavericks,DAL,2009-12-18,2009-10,116,108,2009-12-18,HOU,2009,DAL,HOU
3865,Milwaukee Bucks,Cleveland Cavaliers,CLE,2009-12-18,2009-10,82,85,2009-12-18,MIL,2009,CLE,MIL
2798,Atlanta Hawks,Chicago Bulls,CHI,2009-12-19,2009-10,98,101,2009-12-19,ATL,2009,CHI,ATL
3002,Indiana Pacers,San Antonio Spurs,SAS,2009-12-19,2009-10,99,100,2009-12-19,IND,2009,SAS,IND
3054,Oklahoma City Thunder,Houston Rockets,HOU,2009-12-19,2009-10,90,95,2009-12-19,OKC,2009,HOU,OKC
3550,Sacramento Kings,Milwaukee Bucks,MIL,2009-12-19,2009-10,96,95,2009-12-19,SAC,2009,MIL,SAC
3591,Los Angeles Clippers,Philadelphia 76ers,PHI,2009-12-19,2009-10,112,107,2009-12-19,LAC,2009,PHI,LAC
3607,Utah Jazz,Charlotte Bobcats,CHA,2009-12-19,2009-10,110,102,2009-12-19,UTA,2009,CHA,UTA
3717,Portland Trail Blazers,Orlando Magic,ORL,2009-12-19,2009-10,83,92,2009-12-19,POR,2009,ORL,POR
3752,Los Angeles Lakers,New Jersey Nets,NJN,2009-12-19,2009-10,103,84,2009-12-19,LAL,2009,BKN,LAL
3794,Washington Wizards,Phoenix Suns,PHX,2009-12-19,2009-10,95,121,2009-12-19,WAS,2009,PHX,WAS
2737,New Orleans Hornets,Toronto Raptors,TOR,2009-12-20,2009-10,92,98,2009-12-20,NOH,2009,TOR,NOP
2853,Minnesota Timberwolves,Boston Celtics,BOS,2009-12-20,2009-10,104,122,2009-12-20,MIN,2009,BOS,MIN
2910,Portland Trail Blazers,Miami Heat,MIA,2009-12-20,2009-10,102,95,2009-12-20,POR,2009,MIA,POR
2969,Los Angeles Lakers,Detroit Pistons,DET,2009-12-20,2009-10,93,81,2009-12-20,LAL,2009,DET,LAL
2983,Denver Nuggets,Memphis Grizzlies,MEM,2009-12-20,2009-10,96,102,2009-12-20,DEN,2009,MEM,DEN
3763,Cleveland Cavaliers,Dallas Mavericks,DAL,2009-12-20,2009-10,95,102,2009-12-20,CLE,2009,DAL,CLE
3839,Charlotte Bobcats,New York Knicks,NYK,2009-12-20,2009-10,94,98,2009-12-20,CHA,2009,NYK,CHA
2790,Sacramento Kings,Chicago Bulls,CHI,2009-12-21,2009-10,102,98,2009-12-21,SAC,2009,CHI,SAC
2940,Los Angeles Clippers,San Antonio Spurs,SAS,2009-12-21,2009-10,87,103,2009-12-21,LAC,2009,SAS,LAC
3047,Milwaukee Bucks,Indiana Pacers,IND,2009-12-21,2009-10,84,81,2009-12-21,MIL,2009,IND,MIL
3656,Cleveland Cavaliers,Phoenix Suns,PHX,2009-12-21,2009-10,109,91,2009-12-21,CLE,2009,PHX,CLE
3864,Utah Jazz,Orlando Magic,ORL,2009-12-21,2009-10,99,104,2009-12-21,UTA,2009,ORL,UTA
2641,Oklahoma City Thunder,Los Angeles Lakers,LAL,2009-12-22,2009-10,108,111,2009-12-22,OKC,2009,LAL,OKC
2848,Indiana Pacers,Boston Celtics,BOS,2009-12-22,2009-10,94,103,2009-12-22,IND,2009,BOS,IND
2987,Golden State Warriors,Memphis Grizzlies,MEM,2009-12-22,2009-10,108,121,2009-12-22,GSW,2009,MEM,GSW
3057,Los Angeles Clippers,Houston Rockets,HOU,2009-12-22,2009-10,99,108,2009-12-22,LAC,2009,HOU,LAC
3189,Philadelphia 76ers,Washington Wizards,WAS,2009-12-22,2009-10,98,105,2009-12-22,PHI,2009,WAS,PHI
3497,Atlanta Hawks,Minnesota Timberwolves,MIN,2009-12-22,2009-10,112,87,2009-12-22,ATL,2009,MIN,ATL
3609,Detroit Pistons,Charlotte Bobcats,CHA,2009-12-22,2009-10,76,88,2009-12-22,DET,2009,CHA,DET
3737,Chicago Bulls,New York Knicks,NYK,2009-12-22,2009-10,81,88,2009-12-22,CHI,2009,NYK,CHI
3803,Portland Trail Blazers,Dallas Mavericks,DAL,2009-12-22,2009-10,85,81,2009-12-22,POR,2009,DAL,POR
2836,Cleveland Cavaliers,Sacramento Kings,SAC,2009-12-23,2009-10,117,104,2009-12-23,CLE,2009,SAC,CLE
2906,Utah Jazz,Miami Heat,MIA,2009-12-23,2009-10,70,80,2009-12-23,UTA,2009,MIA,UTA
2926,Atlanta Hawks,Denver Nuggets,DEN,2009-12-23,2009-10,104,124,2009-12-23,ATL,2009,DEN,ATL
3017,Portland Trail Blazers,San Antonio Spurs,SAS,2009-12-23,2009-10,98,94,2009-12-23,POR,2009,SAS,POR
3297,Toronto Raptors,Detroit Pistons,DET,2009-12-23,2009-10,94,64,2009-12-23,TOR,2009,DET,TOR
3529,Washington Wizards,Milwaukee Bucks,MIL,2009-12-23,2009-10,109,97,2009-12-23,WAS,2009,MIL,WAS
3608,Houston Rockets,Orlando Magic,ORL,2009-12-23,2009-10,87,102,2009-12-23,HOU,2009,ORL,HOU
3630,Oklahoma City Thunder,Phoenix Suns,PHX,2009-12-23,2009-10,117,113,2009-12-23,OKC,2009,PHX,OKC
3730,Golden State Warriors,New Orleans Hornets,NOH,2009-12-23,2009-10,102,108,2009-12-23,GSW,2009,NOP,GSW
3936,Minnesota Timberwolves,New Jersey Nets,NJN,2009-12-23,2009-10,103,99,2009-12-23,MIN,2009,BKN,MIN
2646,Cleveland Cavaliers,Los Angeles Lakers,LAL,2009-12-25,2009-10,102,87,2009-12-25,CLE,2009,LAL,CLE
3643,Los Angeles Clippers,Phoenix Suns,PHX,2009-12-25,2009-10,93,124,2009-12-25,LAC,2009,PHX,LAC
3691,Boston Celtics,Orlando Magic,ORL,2009-12-25,2009-10,86,77,2009-12-25,BOS,2009,ORL,BOS
3697,Denver Nuggets,Portland Trail Blazers,POR,2009-12-25,2009-10,96,107,2009-12-25,DEN,2009,POR,DEN
3822,Miami Heat,New York Knicks,NYK,2009-12-25,2009-10,93,87,2009-12-25,MIA,2009,NYK,MIA
2808,New Orleans Hornets,Chicago Bulls,CHI,2009-12-26,2009-10,85,96,2009-12-26,NOH,2009,CHI,NOP
2843,Los Angeles Lakers,Sacramento Kings,SAC,2009-12-26,2009-10,112,103,2009-12-26,LAL,2009,SAC,LAL
3109,Atlanta Hawks,Indiana Pacers,IND,2009-12-26,2009-10,110,98,2009-12-26,ATL,2009,IND,ATL
3293,Philadelphia 76ers,Utah Jazz,UTA,2009-12-26,2009-10,76,97,2009-12-26,PHI,2009,UTA,PHI
3318,Charlotte Bobcats,Oklahoma City Thunder,OKC,2009-12-26,2009-10,91,98,2009-12-26,CHA,2009,OKC,CHA
3395,Phoenix Suns,Golden State Warriors,GSW,2009-12-26,2009-10,127,132,2009-12-26,PHX,2009,GSW,PHX
3625,Washington Wizards,Minnesota Timberwolves,MIN,2009-12-26,2009-10,89,101,2009-12-26,WAS,2009,MIN,WAS
3681,Houston Rockets,New Jersey Nets,NJN,2009-12-26,2009-10,98,93,2009-12-26,HOU,2009,BKN,HOU
3787,Memphis Grizzlies,Dallas Mavericks,DAL,2009-12-26,2009-10,101,106,2009-12-26,MEM,2009,DAL,MEM
3870,San Antonio Spurs,Milwaukee Bucks,MIL,2009-12-26,2009-10,112,97,2009-12-26,SAS,2009,MIL,SAS
2743,Dallas Mavericks,Denver Nuggets,DEN,2009-12-27,2009-10,104,96,2009-12-27,DAL,2009,DEN,DAL
2758,Detroit Pistons,Toronto Raptors,TOR,2009-12-27,2009-10,95,102,2009-12-27,DET,2009,TOR,DET
2854,San Antonio Spurs,New York Knicks,NYK,2009-12-27,2009-10,95,88,2009-12-27,SAS,2009,NYK,SAS
2912,Indiana Pacers,Miami Heat,MIA,2009-12-27,2009-10,80,114,2009-12-27,IND,2009,MIA,IND
3271,Boston Celtics,Los Angeles Clippers,LAC,2009-12-27,2009-10,90,92,2009-12-27,BOS,2009,LAC,BOS
3885,Houston Rockets,Cleveland Cavaliers,CLE,2009-12-27,2009-10,83,108,2009-12-27,HOU,2009,CLE,HOU
2889,Denver Nuggets,Sacramento Kings,SAC,2009-12-28,2009-10,101,106,2009-12-28,DEN,2009,SAC,DEN
2986,Washington Wizards,Memphis Grizzlies,MEM,2009-12-28,2009-10,111,116,2009-12-28,WAS,2009,MEM,WAS
3133,Boston Celtics,Golden State Warriors,GSW,2009-12-28,2009-10,99,103,2009-12-28,BOS,2009,GSW,BOS
3613,Milwaukee Bucks,Charlotte Bobcats,CHA,2009-12-28,2009-10,84,94,2009-12-28,MIL,2009,CHA,MIL
3649,Los Angeles Lakers,Phoenix Suns,PHX,2009-12-28,2009-10,103,118,2009-12-28,LAL,2009,PHX,LAL
3723,Philadelphia 76ers,Portland Trail Blazers,POR,2009-12-28,2009-10,104,93,2009-12-28,PHI,2009,POR,PHI
3782,Oklahoma City Thunder,New Jersey Nets,NJN,2009-12-28,2009-10,105,89,2009-12-28,OKC,2009,BKN,OKC
2662,Golden State Warriors,Los Angeles Lakers,LAL,2009-12-29,2009-10,118,124,2009-12-29,GSW,2009,LAL,GSW
2703,New York Knicks,Detroit Pistons,DET,2009-12-29,2009-10,104,87,2009-12-29,NYK,2009,DET,NYK
2760,Indiana Pacers,Chicago Bulls,CHI,2009-12-29,2009-10,95,104,2009-12-29,IND,2009,CHI,IND
3023,Minnesota Timberwolves,San Antonio Spurs,SAS,2009-12-29,2009-10,99,117,2009-12-29,MIN,2009,SAS,MIN
3052,New Orleans Hornets,Houston Rockets,HOU,2009-12-29,2009-10,100,108,2009-12-29,NOH,2009,HOU,NOP
3190,Oklahoma City Thunder,Washington Wizards,WAS,2009-12-29,2009-10,110,98,2009-12-29,OKC,2009,WAS,OKC
3458,Cleveland Cavaliers,Atlanta Hawks,ATL,2009-12-29,2009-10,95,84,2009-12-29,CLE,2009,ATL,CLE
2768,Charlotte Bobcats,Toronto Raptors,TOR,2009-12-30,2009-10,103,107,2009-12-30,CHA,2009,TOR,CHA
2866,Philadelphia 76ers,Sacramento Kings,SAC,2009-12-30,2009-10,116,106,2009-12-30,PHI,2009,SAC,PHI
3041,Memphis Grizzlies,Indiana Pacers,IND,2009-12-30,2009-10,121,110,2009-12-30,MEM,2009,IND,MEM
3163,Milwaukee Bucks,Orlando Magic,ORL,2009-12-30,2009-10,92,117,2009-12-30,MIL,2009,ORL,MIL
3576,Miami Heat,New Orleans Hornets,NOH,2009-12-30,2009-10,91,95,2009-12-30,MIA,2009,NOP,MIA
3658,Boston Celtics,Phoenix Suns,PHX,2009-12-30,2009-10,98,116,2009-12-30,BOS,2009,PHX,BOS
3695,Utah Jazz,Minnesota Timberwolves,MIN,2009-12-30,2009-10,107,103,2009-12-30,UTA,2009,MIN,UTA
3726,Los Angeles Clippers,Portland Trail Blazers,POR,2009-12-30,2009-10,99,103,2009-12-30,LAC,2009,POR,LAC
3823,New York Knicks,New Jersey Nets,NJN,2009-12-30,2009-10,95,104,2009-12-30,NYK,2009,BKN,NYK
3895,Atlanta Hawks,Cleveland Cavaliers,CLE,2009-12-30,2009-10,101,106,2009-12-30,ATL,2009,CLE,ATL
2747,Chicago Bulls,Detroit Pistons,DET,2009-12-31,2009-10,98,87,2009-12-31,CHI,2009,DET,CHI
3014,Miami Heat,San Antonio Spurs,SAS,2009-12-31,2009-10,78,108,2009-12-31,MIA,2009,SAS,MIA
3073,Dallas Mavericks,Houston Rockets,HOU,2009-12-31,2009-10,94,97,2009-12-31,DAL,2009,HOU,DAL
3314,Utah Jazz,Oklahoma City Thunder,OKC,2009-12-31,2009-10,86,87,2009-12-31,UTA,2009,OKC,UTA
3419,Philadelphia 76ers,Los Angeles Clippers,LAC,2009-12-31,2009-10,88,104,2009-12-31,PHI,2009,LAC,PHI
2636,Sacramento Kings,Los Angeles Lakers,LAL,2010-01-01,2009-10,108,109,2010-01-01,SAC,2009,LAL,SAC
3282,New York Knicks,Atlanta Hawks,ATL,2010-01-01,2009-10,112,108,2010-01-01,NYK,2009,ATL,NYK
3495,Orlando Magic,Minnesota Timberwolves,MIN,2010-01-01,2009-10,106,94,2010-01-01,ORL,2009,MIN,ORL
2825,Charlotte Bobcats,Miami Heat,MIA,2010-01-02,2009-10,107,97,2010-01-02,CHA,2009,MIA,CHA
2902,Orlando Magic,Chicago Bulls,CHI,2010-01-02,2009-10,93,101,2010-01-02,ORL,2009,CHI,ORL
3016,Toronto Raptors,Boston Celtics,BOS,2010-01-02,2009-10,96,103,2010-01-02,TOR,2009,BOS,TOR
3128,Denver Nuggets,Utah Jazz,UTA,2010-01-02,2009-10,105,95,2010-01-02,DEN,2009,UTA,DEN
3153,San Antonio Spurs,Washington Wizards,WAS,2010-01-02,2009-10,97,86,2010-01-02,SAS,2009,WAS,SAS
3241,Minnesota Timberwolves,Indiana Pacers,IND,2010-01-02,2009-10,111,122,2010-01-02,MIN,2009,IND,MIN
3523,Oklahoma City Thunder,Milwaukee Bucks,MIL,2010-01-02,2009-10,97,103,2010-01-02,OKC,2009,MIL,OKC
3640,Cleveland Cavaliers,New Jersey Nets,NJN,2010-01-02,2009-10,94,86,2010-01-02,CLE,2009,BKN,CLE
3767,Golden State Warriors,Portland Trail Blazers,POR,2010-01-02,2009-10,89,105,2010-01-02,GSW,2009,POR,GSW
3798,Dallas Mavericks,Sacramento Kings,SAC,2010-01-02,2009-10,99,91,2010-01-02,DAL,2009,SAC,DAL
3858,Houston Rockets,New Orleans Hornets,NOH,2010-01-02,2009-10,95,99,2010-01-02,HOU,2009,NOP,HOU
3889,Memphis Grizzlies,Phoenix Suns,PHX,2010-01-02,2009-10,128,103,2010-01-02,MEM,2009,PHX,MEM
2661,Dallas Mavericks,Los Angeles Lakers,LAL,2010-01-03,2009-10,96,131,2010-01-03,DAL,2009,LAL,DAL
2794,San Antonio Spurs,Toronto Raptors,TOR,2010-01-03,2009-10,86,91,2010-01-03,SAS,2009,TOR,SAS
3007,Philadelphia 76ers,Denver Nuggets,DEN,2010-01-03,2009-10,108,105,2010-01-03,PHI,2009,DEN,PHI
3013,Indiana Pacers,New York Knicks,NYK,2010-01-03,2009-10,89,132,2010-01-03,IND,2009,NYK,IND
3900,Charlotte Bobcats,Cleveland Cavaliers,CLE,2010-01-03,2009-10,91,88,2010-01-03,CHA,2009,CLE,CHA
2831,Atlanta Hawks,Miami Heat,MIA,2010-01-04,2009-10,75,92,2010-01-04,ATL,2009,MIA,ATL
2948,Oklahoma City Thunder,Chicago Bulls,CHI,2010-01-04,2009-10,98,85,2010-01-04,OKC,2009,CHI,OKC
3130,New Orleans Hornets,Utah Jazz,UTA,2010-01-04,2009-10,91,87,2010-01-04,NOH,2009,UTA,NOP
3244,Portland Trail Blazers,Los Angeles Clippers,LAC,2010-01-04,2009-10,95,105,2010-01-04,POR,2009,LAC,POR
2810,Houston Rockets,Los Angeles Lakers,LAL,2010-01-05,2009-10,79,88,2010-01-05,HOU,2009,LAL,HOU
2878,Golden State Warriors,Denver Nuggets,DEN,2010-01-05,2009-10,122,123,2010-01-05,GSW,2009,DEN,GSW
3102,Orlando Magic,Indiana Pacers,IND,2010-01-05,2009-10,90,97,2010-01-05,ORL,2009,IND,ORL
3508,Chicago Bulls,Charlotte Bobcats,CHA,2010-01-05,2009-10,108,113,2010-01-05,CHI,2009,CHA,CHI
3593,Washington Wizards,Philadelphia 76ers,PHI,2010-01-05,2009-10,104,97,2010-01-05,WAS,2009,PHI,WAS
3594,Detroit Pistons,Dallas Mavericks,DAL,2010-01-05,2009-10,93,98,2010-01-05,DET,2009,DAL,DET
3621,Milwaukee Bucks,New Jersey Nets,NJN,2010-01-05,2009-10,98,76,2010-01-05,MIL,2009,BKN,MIL
3760,Phoenix Suns,Sacramento Kings,SAC,2010-01-05,2009-10,113,109,2010-01-05,PHX,2009,SAC,PHX
3872,Memphis Grizzlies,Portland Trail Blazers,POR,2010-01-05,2009-10,109,105,2010-01-05,MEM,2009,POR,MEM
2913,Boston Celtics,Miami Heat,MIA,2010-01-06,2009-10,112,106,2010-01-06,BOS,2009,MIA,BOS
2955,Detroit Pistons,San Antonio Spurs,SAS,2010-01-06,2009-10,92,112,2010-01-06,DET,2009,SAS,DET
3114,Memphis Grizzlies,Utah Jazz,UTA,2010-01-06,2009-10,94,117,2010-01-06,MEM,2009,UTA,MEM
3235,Toronto Raptors,Orlando Magic,ORL,2010-01-06,2009-10,108,103,2010-01-06,TOR,2009,ORL,TOR
3251,Los Angeles Lakers,Los Angeles Clippers,LAC,2010-01-06,2009-10,91,102,2010-01-06,LAL,2009,LAC,LAL
3360,New Jersey Nets,Atlanta Hawks,ATL,2010-01-06,2009-10,89,119,2010-01-06,NJN,2009,ATL,BKN
3431,New Orleans Hornets,Oklahoma City Thunder,OKC,2010-01-06,2009-10,97,92,2010-01-06,NOH,2009,OKC,NOP
3483,Washington Wizards,Cleveland Cavaliers,CLE,2010-01-06,2009-10,98,121,2010-01-06,WAS,2009,CLE,WAS
3699,Golden State Warriors,Minnesota Timberwolves,MIN,2010-01-06,2009-10,107,101,2010-01-06,GSW,2009,MIN,GSW
3836,Houston Rockets,Phoenix Suns,PHX,2010-01-06,2009-10,110,118,2010-01-06,HOU,2009,PHX,HOU
2949,Charlotte Bobcats,New York Knicks,NYK,2010-01-07,2009-10,93,97,2010-01-07,CHA,2009,NYK,CHA
2797,Cleveland Cavaliers,Denver Nuggets,DEN,2010-01-08,2009-10,97,99,2010-01-08,CLE,2009,DEN,CLE
2956,Dallas Mavericks,San Antonio Spurs,SAS,2010-01-08,2009-10,112,103,2010-01-08,DAL,2009,SAS,DAL
2972,Utah Jazz,Memphis Grizzlies,MEM,2010-01-08,2009-10,89,91,2010-01-08,UTA,2009,MEM,UTA
3087,Boston Celtics,Atlanta Hawks,ATL,2010-01-08,2009-10,85,93,2010-01-08,BOS,2009,ATL,BOS
3218,Orlando Magic,Washington Wizards,WAS,2010-01-08,2009-10,97,104,2010-01-08,ORL,2009,WAS,ORL
3394,Sacramento Kings,Golden State Warriors,GSW,2010-01-08,2009-10,101,108,2010-01-08,SAC,2009,GSW,SAC
3482,Toronto Raptors,Philadelphia 76ers,PHI,2010-01-08,2009-10,108,106,2010-01-08,TOR,2009,PHI,TOR
3554,Chicago Bulls,Milwaukee Bucks,MIL,2010-01-08,2009-10,93,96,2010-01-08,CHI,2009,MIL,CHI
3719,Indiana Pacers,Minnesota Timberwolves,MIN,2010-01-08,2009-10,109,116,2010-01-08,IND,2009,MIN,IND
3838,Miami Heat,Phoenix Suns,PHX,2010-01-08,2009-10,109,105,2010-01-08,MIA,2009,PHX,MIA
3860,New Jersey Nets,New Orleans Hornets,NOH,2010-01-08,2009-10,99,103,2010-01-08,NJN,2009,NOP,BKN
3931,Los Angeles Lakers,Portland Trail Blazers,POR,2010-01-08,2009-10,98,107,2010-01-08,LAL,2009,POR,LAL
3230,New York Knicks,Houston Rockets,HOU,2010-01-09,2009-10,96,105,2010-01-09,NYK,2009,HOU,NYK
3238,Atlanta Hawks,Orlando Magic,ORL,2010-01-09,2009-10,81,113,2010-01-09,ATL,2009,ORL,ATL
3264,Philadelphia 76ers,Detroit Pistons,DET,2010-01-09,2009-10,104,94,2010-01-09,PHI,2009,DET,PHI
3378,Minnesota Timberwolves,Chicago Bulls,CHI,2010-01-09,2009-10,96,110,2010-01-09,MIN,2009,CHI,MIN
3448,Indiana Pacers,Oklahoma City Thunder,OKC,2010-01-09,2009-10,102,108,2010-01-09,IND,2009,OKC,IND
3498,Memphis Grizzlies,Charlotte Bobcats,CHA,2010-01-09,2009-10,87,89,2010-01-09,MEM,2009,CHA,MEM
3645,Utah Jazz,Dallas Mavericks,DAL,2010-01-09,2009-10,111,93,2010-01-09,UTA,2009,DAL,UTA
3853,Denver Nuggets,Sacramento Kings,SAC,2010-01-09,2009-10,100,102,2010-01-09,DEN,2009,SAC,DEN
2724,Boston Celtics,Toronto Raptors,TOR,2010-01-10,2009-10,114,107,2010-01-10,BOS,2009,TOR,BOS
2812,Milwaukee Bucks,Los Angeles Lakers,LAL,2010-01-10,2009-10,77,95,2010-01-10,MIL,2009,LAL,MIL
2958,New Jersey Nets,San Antonio Spurs,SAS,2010-01-10,2009-10,85,97,2010-01-10,NJN,2009,SAS,BKN
3219,New Orleans Hornets,Washington Wizards,WAS,2010-01-10,2009-10,115,110,2010-01-10,NOH,2009,WAS,NOP
3249,Miami Heat,Los Angeles Clippers,LAC,2010-01-10,2009-10,84,94,2010-01-10,MIA,2009,LAC,MIA
3563,Cleveland Cavaliers,Portland Trail Blazers,POR,2010-01-10,2009-10,106,94,2010-01-10,CLE,2009,POR,CLE
2674,Minnesota Timberwolves,Denver Nuggets,DEN,2010-01-11,2009-10,94,105,2010-01-11,MIN,2009,DEN,MIN
2950,Atlanta Hawks,Boston Celtics,BOS,2010-01-11,2009-10,102,96,2010-01-11,ATL,2009,BOS,ATL
3088,Cleveland Cavaliers,Golden State Warriors,GSW,2010-01-11,2009-10,117,114,2010-01-11,CLE,2009,GSW,CLE
3099,Miami Heat,Utah Jazz,UTA,2010-01-11,2009-10,89,118,2010-01-11,MIA,2009,UTA,MIA
3107,Toronto Raptors,Indiana Pacers,IND,2010-01-11,2009-10,101,105,2010-01-11,TOR,2009,IND,TOR
3444,Detroit Pistons,Chicago Bulls,CHI,2010-01-11,2009-10,87,120,2010-01-11,DET,2009,CHI,DET
3446,New York Knicks,Oklahoma City Thunder,OKC,2010-01-11,2009-10,88,106,2010-01-11,NYK,2009,OKC,NYK
3670,Milwaukee Bucks,Phoenix Suns,PHX,2010-01-11,2009-10,101,105,2010-01-11,MIL,2009,PHX,MIL
3929,New Orleans Hornets,Philadelphia 76ers,PHI,2010-01-11,2009-10,92,96,2010-01-11,NOH,2009,PHI,NOP
2678,Los Angeles Clippers,Memphis Grizzlies,MEM,2010-01-12,2009-10,102,104,2010-01-12,LAC,2009,MEM,LAC
2960,Los Angeles Lakers,San Antonio Spurs,SAS,2010-01-12,2009-10,85,105,2010-01-12,LAL,2009,SAS,LAL
3220,Detroit Pistons,Washington Wizards,WAS,2010-01-12,2009-10,99,90,2010-01-12,DET,2009,WAS,DET
3674,Houston Rockets,Charlotte Bobcats,CHA,2010-01-12,2009-10,94,102,2010-01-12,HOU,2009,CHA,HOU
3842,Orlando Magic,Sacramento Kings,SAC,2010-01-12,2009-10,109,88,2010-01-12,ORL,2009,SAC,ORL
2882,Los Angeles Lakers,Dallas Mavericks,DAL,2010-01-13,2009-10,100,95,2010-01-13,LAL,2009,DAL,LAL
2916,Orlando Magic,Denver Nuggets,DEN,2010-01-13,2009-10,97,115,2010-01-13,ORL,2009,DEN,ORL
3035,Minnesota Timberwolves,Houston Rockets,HOU,2010-01-13,2009-10,114,120,2010-01-13,MIN,2009,HOU,MIN
3048,Miami Heat,Golden State Warriors,GSW,2010-01-13,2009-10,115,102,2010-01-13,MIA,2009,GSW,MIA
3097,Phoenix Suns,Indiana Pacers,IND,2010-01-13,2009-10,114,122,2010-01-13,PHX,2009,IND,PHX
3412,Washington Wizards,Atlanta Hawks,ATL,2010-01-13,2009-10,82,94,2010-01-13,WAS,2009,ATL,WAS
3440,San Antonio Spurs,Oklahoma City Thunder,OKC,2010-01-13,2009-10,109,108,2010-01-13,SAS,2009,OKC,SAS
3586,Milwaukee Bucks,Portland Trail Blazers,POR,2010-01-13,2009-10,108,120,2010-01-13,MIL,2009,POR,MIL
3675,Boston Celtics,New Jersey Nets,NJN,2010-01-13,2009-10,111,87,2010-01-13,BOS,2009,BKN,BOS
3831,Los Angeles Clippers,New Orleans Hornets,NOH,2010-01-13,2009-10,94,108,2010-01-13,LAC,2009,NOP,LAC
3938,New York Knicks,Philadelphia 76ers,PHI,2010-01-13,2009-10,93,92,2010-01-13,NYK,2009,PHI,NYK
2927,Chicago Bulls,Boston Celtics,BOS,2010-01-14,2009-10,96,83,2010-01-14,CHI,2009,BOS,CHI
3391,Cleveland Cavaliers,Utah Jazz,UTA,2010-01-14,2009-10,96,97,2010-01-14,CLE,2009,UTA,CLE
2682,Toronto Raptors,New York Knicks,NYK,2010-01-15,2009-10,112,104,2010-01-15,TOR,2009,NYK,TOR
2690,Washington Wizards,Chicago Bulls,CHI,2010-01-15,2009-10,119,121,2010-01-15,WAS,2009,CHI,WAS
2692,Minnesota Timberwolves,Memphis Grizzlies,MEM,2010-01-15,2009-10,110,135,2010-01-15,MIN,2009,MEM,MIN
2719,Los Angeles Clippers,Los Angeles Lakers,LAL,2010-01-15,2009-10,86,126,2010-01-15,LAC,2009,LAL,LAC
2885,Oklahoma City Thunder,Dallas Mavericks,DAL,2010-01-15,2009-10,98,99,2010-01-15,OKC,2009,DAL,OKC
3065,Miami Heat,Houston Rockets,HOU,2010-01-15,2009-10,115,106,2010-01-15,MIA,2009,HOU,MIA
3094,Milwaukee Bucks,Golden State Warriors,GSW,2010-01-15,2009-10,113,104,2010-01-15,MIL,2009,GSW,MIL
3320,New Orleans Hornets,Detroit Pistons,DET,2010-01-15,2009-10,104,110,2010-01-15,NOH,2009,DET,NOP
3432,Phoenix Suns,Atlanta Hawks,ATL,2010-01-15,2009-10,101,102,2010-01-15,PHX,2009,ATL,PHX
3517,Sacramento Kings,Philadelphia 76ers,PHI,2010-01-15,2009-10,86,98,2010-01-15,SAC,2009,PHI,SAC
3569,Orlando Magic,Portland Trail Blazers,POR,2010-01-15,2009-10,87,102,2010-01-15,ORL,2009,POR,ORL
