,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
11,".M. Blount, .E. Barron, .C. Quinn, .D. Cook, .B. Ahearn ",1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,MIA,Apr 6 2008
12,".M. Blount, .J. Williams, .E. Barron, .J. Anthony, .B. Ahearn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 6 2008
13,".M. Blount, .R. Davis, .C. Quinn, .D. Cook, .S. Lasme ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 6 2008
14,".M. Blount, .R. Davis, .D. Cook, .S. Lasme, .B. Ahearn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 6 2008
15,".R. Davis, .C. Quinn, .D. Cook, .S. Lasme, .J. Anthony ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 6 2008
16,".R. Davis, .E. Barron, .C. Quinn, .S. Lasme, .B. Ahearn ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIA,Apr 6 2008
0,".M. Blount, .R. Davis, .K. Powell, .C. Quinn, .S. Lasme ",1,16.6,29.0,10.0,29.0,34.5,2.0,8.0,25.0,7.0,9.0,77.8,8.0,14.0,22.0,4.0,5.0,2.0,2.0,1.0,8.0,5.0,5.0,MIA,Apr 11 2008
1,".J. Williams, .E. Barron, .K. Powell, .D. Cook, .J. Anthony ",1,3.8,8.0,4.0,7.0,57.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,-7.0,MIA,Apr 11 2008
2,".M. Blount, .R. Davis, .C. Quinn, .D. Cook, .S. Lasme ",1,3.8,7.0,3.0,10.0,30.0,1.0,5.0,20.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,MIA,Apr 11 2008
3,".M. Blount, .R. Davis, .K. Powell, .C. Quinn, .D. Cook ",1,3.4,5.0,1.0,5.0,20.0,1.0,2.0,50.0,2.0,2.0,100,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,MIA,Apr 11 2008
4,".J. Williams, .R. Davis, .E. Barron, .D. Cook, .J. Anthony ",1,3.2,10.0,4.0,7.0,57.1,0.0,2.0,0.0,2.0,2.0,100,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,-4.0,MIA,Apr 11 2008
5,".R. Davis, .K. Powell, .C. Quinn, .S. Lasme, .J. Anthony ",1,3.1,6.0,2.0,6.0,33.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,MIA,Apr 11 2008
6,".R. Davis, .E. Barron, .C. Quinn, .D. Cook, .J. Anthony ",1,2.9,7.0,1.0,5.0,20.0,1.0,3.0,33.3,4.0,5.0,80.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,MIA,Apr 11 2008
7,".M. Blount, .R. Davis, .E. Barron, .K. Powell, .C. Quinn ",1,2.4,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.0,MIA,Apr 11 2008
8,".R. Davis, .E. Barron, .K. Powell, .C. Quinn, .J. Anthony ",1,2.3,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.0,MIA,Apr 11 2008
