,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
1,".J. Howard, .A. Miller, .L. Aldridge, .B. Roy, .N. Batum ",1,5.4,12.0,5.0,12.0,41.7,1.0,2.0,50.0,1.0,2.0,50.0,4.0,3.0,7.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,POR,Feb 21 2010
2,".M. Camby, .A. Miller, .M. Webster, .L. Aldridge, .R. Fernandez ",1,4.7,12.0,6.0,10.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,POR,Feb 21 2010
3,".M. Camby, .A. Miller, .L. Aldridge, .B. Roy, .N. Batum ",1,4.6,6.0,1.0,6.0,16.7,1.0,2.0,50.0,3.0,6.0,50.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,-3.0,POR,Feb 21 2010
4,".J. Howard, .M. Camby, .A. Miller, .B. Roy, .R. Fernandez ",1,4.0,5.0,1.0,6.0,16.7,0.0,1.0,0.0,3.0,4.0,75.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,-6.0,POR,Feb 21 2010
5,".J. Howard, .R. Fernandez, .J. Bayless, .N. Batum, .D. Cunningham ",1,3.6,6.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,POR,Feb 21 2010
6,".M. Camby, .L. Aldridge, .B. Roy, .R. Fernandez, .N. Batum ",1,3.2,3.0,1.0,7.0,14.3,1.0,2.0,50.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,-3.0,POR,Feb 21 2010
7,".J. Howard, .A. Miller, .L. Aldridge, .R. Fernandez, .N. Batum ",1,2.8,10.0,2.0,2.0,100,0.0,0.0,0.0,6.0,6.0,100,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,POR,Feb 21 2010
8,".J. Howard, .M. Camby, .A. Miller, .R. Fernandez, .N. Batum ",1,2.5,2.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,2.0,100,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,-1.0,POR,Feb 21 2010
9,".J. Howard, .B. Roy, .J. Bayless, .N. Batum, .D. Cunningham ",1,2.4,4.0,1.0,1.0,100,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,-4.0,POR,Feb 21 2010
10,".J. Howard, .M. Camby, .B. Roy, .R. Fernandez, .J. Bayless ",1,2.4,3.0,1.0,4.0,25.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,POR,Feb 21 2010
