Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Fri Nov 15 2013,9:00p,San Antonio Spurs,91,Utah Jazz,82,Box Score,,17530,
Fri Nov 15 2013,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,Box Score,,18997,
Fri Nov 15 2013,10:30p,Detroit Pistons,97,Sacramento Kings,90,Box Score,,17317,
Sat Nov 16 2013,7:00p,Miami Heat,97,Charlotte Bobcats,81,Box Score,,19084,
Sat Nov 16 2013,7:00p,Dallas Mavericks,108,Orlando Magic,100,Box Score,,15039,
Sat Nov 16 2013,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,Box Score,OT,18038,
Sat Nov 16 2013,7:30p,Atlanta Hawks,110,New York Knicks,90,Box Score,,19812,
Sat Nov 16 2013,8:00p,Indiana Pacers,94,Chicago Bulls,110,Box Score,,22158,
Sat Nov 16 2013,8:00p,Denver Nuggets,111,Houston Rockets,122,Box Score,,18147,
Sat Nov 16 2013,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,Box Score,,15111,
Sat Nov 16 2013,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,Box Score,,16659,
Sat Nov 16 2013,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,Box Score,,15984,
Sat Nov 16 2013,10:30p,Utah Jazz,88,Golden State Warriors,102,Box Score,,19596,
Sat Nov 16 2013,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,Box Score,,19349,
Sun Nov 17 2013,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,Box Score,OT,17945,
Sun Nov 17 2013,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,Box Score,,15630,
Sun Nov 17 2013,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,Box Score,,18997,
Mon Nov 18 2013,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,Box Score,,17732,
Mon Nov 18 2013,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,Box Score,,21628,
Mon Nov 18 2013,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,Box Score,,18203,
Mon Nov 18 2013,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,Box Score,,19790,
Mon Nov 18 2013,9:00p,Golden State Warriors,98,Utah Jazz,87,Box Score,,16051,
Mon Nov 18 2013,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,Box Score,,19060,
Tue Nov 19 2013,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,Box Score,,14804,
Tue Nov 19 2013,7:30p,New York Knicks,86,Detroit Pistons,92,Box Score,,13213,
Tue Nov 19 2013,7:30p,Atlanta Hawks,88,Miami Heat,104,Box Score,,19600,
Tue Nov 19 2013,8:00p,Boston Celtics,85,Houston Rockets,109,Box Score,,18232,
Tue Nov 19 2013,10:00p,Phoenix Suns,104,Sacramento Kings,107,Box Score,,14626,
Wed Nov 20 2013,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,Box Score,,13843,
Wed Nov 20 2013,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,Box Score,,16189,
Wed Nov 20 2013,7:00p,Indiana Pacers,103,New York Knicks,96,Box Score,OT,19812,
Wed Nov 20 2013,7:00p,Miami Heat,120,Orlando Magic,92,Box Score,,17256,
Wed Nov 20 2013,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,10787,
Wed Nov 20 2013,7:30p,Detroit Pistons,85,Atlanta Hawks,93,Box Score,,13167,
Wed Nov 20 2013,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,11789,
Wed Nov 20 2013,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,13101,
Wed Nov 20 2013,8:00p,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,13203,
Wed Nov 20 2013,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,18581,
Wed Nov 20 2013,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,12705,
Wed Nov 20 2013,9:30p,Houston Rockets,120,Dallas Mavericks,123,Box Score,,20045,
Wed Nov 20 2013,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,19596,
Thu Nov 21 2013,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,18203,
Thu Nov 21 2013,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,18423,
Fri Nov 22 2013,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,14916,
Fri Nov 22 2013,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,13588,
Fri Nov 22 2013,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,18671,
Fri Nov 22 2013,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,18624,
Fri Nov 22 2013,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,13467,
Fri Nov 22 2013,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,17109,
Fri Nov 22 2013,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,15551,
Fri Nov 22 2013,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,15186,
Fri Nov 22 2013,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,19781,
Fri Nov 22 2013,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,20618,
Fri Nov 22 2013,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,18997,
Sat Nov 23 2013,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,19060,
Sat Nov 23 2013,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,18165,
Sat Nov 23 2013,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,18089,
Sat Nov 23 2013,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,15189,
Sat Nov 23 2013,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,19647,
Sat Nov 23 2013,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,18196,
Sat Nov 23 2013,8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,14871,
Sat Nov 23 2013,8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,18581,
Sat Nov 23 2013,9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,17841,
Sat Nov 23 2013,10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,19596,
Sun Nov 24 2013,2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,17732,
Sun Nov 24 2013,3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,19245,
Sun Nov 24 2013,6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,15785,
Sun Nov 24 2013,7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,18203,
Sun Nov 24 2013,9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,18997,
Mon Nov 25 2013,7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,13558,
Mon Nov 25 2013,7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,16426,
Mon Nov 25 2013,7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,12150,
Mon Nov 25 2013,7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,19758,
Mon Nov 25 2013,8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,15246,
Mon Nov 25 2013,8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,19677,
Mon Nov 25 2013,8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,18323,
Mon Nov 25 2013,9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,18936,
Mon Nov 25 2013,10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,19939,
Tue Nov 26 2013,7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,16421,
Tue Nov 26 2013,7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,19204,
Tue Nov 26 2013,7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,13164,
Tue Nov 26 2013,8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,15330,
Wed Nov 27 2013,7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,15170,
Wed Nov 27 2013,7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,15839,
Wed Nov 27 2013,7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,17319,
Wed Nov 27 2013,7:30p,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,17732,
Wed Nov 27 2013,7:30p,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,20562,
Wed Nov 27 2013,7:30p,Chicago Bulls,99,Detroit Pistons,79,Box Score,,14228,
Wed Nov 27 2013,8:00p,Atlanta Hawks,84,Houston Rockets,113,Box Score,,18051,
Wed Nov 27 2013,8:00p,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,11584,
Wed Nov 27 2013,8:00p,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,14244,
Wed Nov 27 2013,8:00p,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,18203,
Wed Nov 27 2013,8:30p,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,20211,
Wed Nov 27 2013,9:00p,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,12731,
Wed Nov 27 2013,10:30p,New York Knicks,80,Los Angeles Clippers,93,Box Score,,19270,
Fri Nov 29 2013,7:00p,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,15081,
Fri Nov 29 2013,7:00p,San Antonio Spurs,109,Orlando Magic,91,Box Score,,15159,
Fri Nov 29 2013,7:00p,Miami Heat,90,Toronto Raptors,83,Box Score,,18290,
Fri Nov 29 2013,7:30p,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,15463,
Fri Nov 29 2013,7:30p,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,17685,
Fri Nov 29 2013,7:30p,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,15202,
Fri Nov 29 2013,8:00p,Brooklyn Nets,95,Houston Rockets,114,Box Score,,18138,
Fri Nov 29 2013,8:00p,Washington Wizards,73,Indiana Pacers,93,Box Score,,18165,
Fri Nov 29 2013,8:00p,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,18203,
Fri Nov 29 2013,8:00p,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,17807,
Fri Nov 29 2013,9:00p,New York Knicks,95,Denver Nuggets,97,Box Score,,19155,
Fri Nov 29 2013,9:00p,Phoenix Suns,112,Utah Jazz,101,Box Score,,18435,
Fri Nov 29 2013,10:00p,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,17317,
Sat Nov 30 2013,7:00p,Atlanta Hawks,101,Washington Wizards,108,Box Score,,14280,
Sat Nov 30 2013,7:30p,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,17296,
Sat Nov 30 2013,8:00p,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,17012,
Sat Nov 30 2013,8:30p,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,20173,
Sat Nov 30 2013,8:30p,Houston Rockets,112,San Antonio Spurs,106,Box Score,,18581,
Sat Nov 30 2013,9:00p,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,15471,
Sat Nov 30 2013,9:00p,Utah Jazz,112,Phoenix Suns,104,Box Score,,12957,
