,lineup,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,TEAM,GAMEDAY
2,".T. Murphy, .M. Dunleavy, .D. Harrison, .D. Granger, .A. Owens ",1,5.7,22.0,5.0,9.0,55.6,2.0,4.0,50.0,10.0,11.0,90.9,1.0,7.0,8.0,4.0,2.0,0.0,2.0,0.0,2.0,7.0,11.0,IND,Apr 16 2008
3,".T. Murphy, .M. Dunleavy, .D. Harrison, .S. Graham, .A. Owens ",1,3.7,8.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,IND,Apr 16 2008
4,".J. O'Neal, .T. Murphy, .M. Dunleavy, .R. Murray, .M. Daniels ",1,3.4,9.0,2.0,7.0,28.6,0.0,0.0,0.0,5.0,5.0,100,2.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,IND,Apr 16 2008
5,".I. Diogu, .D. Granger, .S. Graham, .A. Owens, .S. Williams ",1,3.2,7.0,2.0,9.0,22.2,0.0,1.0,0.0,3.0,4.0,75.0,1.0,4.0,5.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,IND,Apr 16 2008
6,".T. Murphy, .M. Dunleavy, .R. Murray, .D. Granger, .S. Williams ",1,3.0,8.0,2.0,6.0,33.3,2.0,3.0,66.7,2.0,2.0,100,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,IND,Apr 16 2008
7,".R. Murray, .M. Daniels, .D. Harrison, .D. Granger, .S. Williams ",1,2.2,2.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-6.0,IND,Apr 16 2008
8,".T. Murphy, .M. Dunleavy, .R. Murray, .I. Diogu, .S. Williams ",1,2.0,7.0,3.0,3.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,IND,Apr 16 2008
9,".M. Dunleavy, .R. Murray, .I. Diogu, .D. Granger, .S. Williams ",1,1.9,5.0,2.0,6.0,33.3,1.0,1.0,100,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,-3.0,IND,Apr 16 2008
10,".M. Daniels, .D. Harrison, .D. Granger, .A. Owens, .S. Williams ",1,1.5,6.0,2.0,3.0,66.7,0.0,0.0,0.0,2.0,2.0,100,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,IND,Apr 16 2008
11,".T. Murphy, .M. Dunleavy, .I. Diogu, .D. Granger, .A. Owens ",1,1.3,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,100,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,-3.0,IND,Apr 16 2008
12,".M. Dunleavy, .M. Daniels, .I. Diogu, .D. Granger, .A. Owens ",1,1.2,6.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,IND,Apr 16 2008
13,".M. Dunleavy, .I. Diogu, .D. Granger, .S. Graham, .A. Owens ",1,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Apr 16 2008
14,".M. Dunleavy, .D. Harrison, .D. Granger, .A. Owens, .S. Williams ",1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,IND,Apr 16 2008
15,".M. Dunleavy, .I. Diogu, .D. Granger, .A. Owens, .S. Williams ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Apr 16 2008
16,".T. Murphy, .M. Dunleavy, .R. Murray, .D. Harrison, .S. Williams ",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,IND,Apr 16 2008
0,".C. Maggette, .D. Dickau, .Q. Ross, .A. Thornton, .N. Fazekas ",1,15.0,30.0,10.0,22.0,45.5,3.0,5.0,60.0,7.0,7.0,100,5.0,9.0,14.0,4.0,6.0,1.0,4.0,2.0,7.0,6.0,4.0,LAC,Mar 31 2008
1,".B. Knight, .C. Mobley, .C. Maggette, .J. Powell, .A. Thornton ",1,10.4,17.0,6.0,18.0,33.3,0.0,1.0,0.0,5.0,6.0,83.3,4.0,8.0,12.0,5.0,5.0,1.0,2.0,1.0,3.0,6.0,3.0,LAC,Mar 31 2008
2,".B. Knight, .C. Mobley, .C. Maggette, .C. Kaman, .A. Thornton ",1,8.8,17.0,5.0,14.0,35.7,3.0,4.0,75.0,4.0,4.0,100,2.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,5.0,4.0,-4.0,LAC,Mar 31 2008
3,".C. Mobley, .S. Parker, .Q. Ross, .J. Powell, .A. Thornton ",1,3.3,2.0,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,-6.0,LAC,Mar 31 2008
4,".B. Knight, .C. Mobley, .C. Maggette, .Q. Ross, .J. Powell ",1,2.6,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,-6.0,LAC,Mar 31 2008
5,".C. Mobley, .C. Maggette, .S. Parker, .C. Kaman, .A. Thornton ",1,2.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,-2.0,LAC,Mar 31 2008
6,".B. Knight, .C. Mobley, .C. Maggette, .J. Powell, .N. Fazekas ",1,2.0,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-3.0,LAC,Mar 31 2008
7,".B. Knight, .C. Mobley, .C. Maggette, .Q. Ross, .N. Fazekas ",1,1.6,5.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,8.0,62.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,LAC,Mar 31 2008
8,".C. Mobley, .C. Maggette, .D. Dickau, .A. Thornton, .N. Fazekas ",1,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,100,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,LAC,Mar 31 2008
9,".C. Maggette, .S. Parker, .C. Kaman, .Q. Ross, .A. Thornton ",1,0.6,3.0,1.0,1.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,LAC,Mar 31 2008
10,".B. Knight, .C. Mobley, .C. Maggette, .A. Thornton, .N. Fazekas ",1,0.5,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,LAC,Mar 31 2008
