,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE
1030,HOU,NOP,2013-12-28,2013.0,98.0
1031,LAL,NOP,2013-11-12,2013.0,95.0
1032,BOS,NOP,2014-01-03,2013.0,95.0
1033,LAC,NOP,2013-12-18,2013.0,95.0
1034,TOR,NOP,2014-02-10,2013.0,101.0
1035,DET,NOP,2014-01-24,2013.0,103.0
1036,UTA,NOP,2013-11-13,2013.0,105.0
1037,SAS,NOP,2013-11-25,2013.0,93.0
1038,WAS,NOP,2014-02-22,2013.0,93.0
1039,DEN,NOP,2013-12-15,2013.0,93.0
1040,SAC,NOP,2013-12-23,2013.0,113.0
1041,ATL,NOP,2014-03-21,2013.0,111.0
1042,MIA,NOP,2014-01-07,2013.0,88.0
1043,GSW,NOP,2013-12-17,2013.0,93.0
1327,OKC,SAS,2009-04-07,2008.0,99.0
1341,OKC,SAS,2009-03-16,2008.0,76.0
1386,NOH,SAS,2008-12-17,2008.0,83.0
1410,CLE,SAS,2009-04-05,2008.0,81.0
1456,NOH,SAS,2009-03-29,2008.0,86.0
1508,CHI,SAS,2009-01-17,2008.0,92.0
1510,NYK,SAS,2009-02-17,2008.0,107.0
1587,DET,SAS,2009-02-19,2008.0,83.0
1598,LAC,SAS,2009-03-02,2008.0,106.0
1664,LAL,SAS,2009-01-25,2008.0,85.0
1673,LAC,SAS,2008-11-17,2008.0,86.0
1691,GSW,SAS,2009-04-13,2008.0,101.0
1692,HOU,SAS,2009-03-14,2008.0,88.0
1742,HOU,SAS,2008-11-29,2008.0,84.0
1751,GSW,SAS,2009-02-02,2008.0,110.0
1809,IND,SAS,2009-04-03,2008.0,126.0
1822,MIN,SAS,2008-11-05,2008.0,129.0
1852,MIL,SAS,2008-11-12,2008.0,78.0
1872,DAL,SAS,2009-03-04,2008.0,102.0
1908,NJN,SAS,2009-02-10,2008.0,108.0
1933,MIN,SAS,2008-12-12,2008.0,98.0
1943,DAL,SAS,2008-12-09,2008.0,133.0
1947,DAL,SAS,2009-04-23,2008.0,67.0
1948,DAL,SAS,2009-04-25,2008.0,90.0
1967,MEM,SAS,2009-01-02,2008.0,91.0
1973,MIA,SAS,2009-01-05,2008.0,91.0
2012,MEM,SAS,2008-11-24,2008.0,94.0
2016,DEN,SAS,2009-02-03,2008.0,96.0
2089,DEN,SAS,2008-12-04,2008.0,108.0
2108,SAC,SAS,2008-11-16,2008.0,90.0
2126,POR,SAS,2008-10-31,2008.0,99.0
2138,POR,SAS,2009-03-01,2008.0,84.0
2151,SAS,HOU,2008-11-14,2008.0,75.0
2152,SAS,MEM,2008-11-28,2008.0,98.0
2154,SAS,DEN,2008-11-19,2008.0,91.0
2155,SAS,UTA,2008-11-21,2008.0,94.0
2156,SAS,CHI,2008-11-26,2008.0,88.0
2157,SAS,MIA,2008-11-07,2008.0,99.0
2158,SAS,NYK,2008-11-11,2008.0,80.0
2159,SAS,DAL,2008-11-04,2008.0,98.0
2160,SAS,BOS,2009-03-20,2008.0,80.0
2161,SAS,HOU,2009-03-22,2008.0,87.0
2163,SAS,GSW,2009-03-24,2008.0,106.0
2164,SAS,OKC,2009-03-31,2008.0,96.0
2165,SAS,WAS,2009-03-06,2008.0,78.0
2166,SAS,PHX,2009-03-08,2008.0,98.0
2167,SAS,CHA,2009-03-10,2008.0,86.0
2168,SAS,LAL,2009-03-12,2008.0,102.0
2169,SAS,MIN,2009-03-17,2008.0,86.0
2170,SAS,DAL,2009-04-28,2008.0,106.0
2171,SAS,DAL,2009-02-24,2008.0,76.0
2172,SAS,POR,2009-02-25,2008.0,84.0
2173,SAS,DAL,2009-04-20,2008.0,84.0
2174,SAS,DAL,2009-04-18,2008.0,105.0
2175,SAS,LAC,2009-03-27,2008.0,98.0
2188,SAC,SAS,2009-04-12,2008.0,95.0
2214,PHX,SAS,2008-12-25,2008.0,91.0
2249,PHI,SAS,2009-01-16,2008.0,87.0
2291,SAS,NOH,2009-04-15,2008.0,98.0
2309,CHA,SAS,2009-01-19,2008.0,86.0
2315,PHX,SAS,2009-01-29,2008.0,114.0
2321,SAS,CLE,2009-02-27,2008.0,97.0
2325,UTA,SAS,2009-01-27,2008.0,106.0
2347,ATL,SAS,2009-03-25,2008.0,102.0
2380,WAS,DEN,2009-02-06,2008.0,124.0
2381,WAS,ATL,2009-03-02,2008.0,98.0
2382,WAS,NOH,2009-03-11,2008.0,109.0
