,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes,Date_c,Home_abb,Date_fmt,Date_shifted,Season
9346,Sun Mar 31 2013,6:00p,Toronto Raptors,92,Washington Wizards,109,Box Score,,14360,,Mar 31 2013,WAS,2013-03-31,04-01-2013,2012-13
1962,Wed Nov 14 2012,8:00p,Memphis Grizzlies,107,Oklahoma City Thunder,97,Box Score,,18203,,Nov 14 2012,OKC,2012-11-14,11-15-2012,2012-13
1899,Tue Nov 6 2012,8:00p,Toronto Raptors,88,Oklahoma City Thunder,108,Box Score,,18203,,Nov 6 2012,OKC,2012-11-06,11-07-2012,2012-13
2059,Wed Nov 28 2012,7:00p,Portland Trail Blazers,82,Washington Wizards,84,Box Score,,14114,,Nov 28 2012,WAS,2012-11-28,11-29-2012,2012-13
8647,Mon Jan 7 2013,8:00p,Cleveland Cavaliers,92,Chicago Bulls,118,Box Score,,21355,,Jan 7 2013,CHI,2013-01-07,01-08-2013,2012-13
2046,Mon Nov 26 2012,7:00p,San Antonio Spurs,118,Washington Wizards,92,Box Score,,13879,,Nov 26 2012,WAS,2012-11-26,11-27-2012,2012-13
1905,Wed Nov 7 2012,8:00p,Denver Nuggets,93,Houston Rockets,87,Box Score,,13372,,Nov 7 2012,HOU,2012-11-07,11-08-2012,2012-13
8769,Wed Jan 23 2013,10:30p,Oklahoma City Thunder,99,Golden State Warriors,104,Box Score,,19596,,Jan 23 2013,GSW,2013-01-23,01-24-2013,2012-13
8753,Mon Jan 21 2013,9:30p,Los Angeles Lakers,83,Chicago Bulls,95,Box Score,,22550,,Jan 21 2013,CHI,2013-01-21,01-22-2013,2012-13
8761,Wed Jan 23 2013,8:00p,Detroit Pistons,82,Chicago Bulls,85,Box Score,,21567,,Jan 23 2013,CHI,2013-01-23,01-24-2013,2012-13
1953,Tue Nov 13 2012,7:00p,New York Knicks,99,Orlando Magic,89,Box Score,,18846,,Nov 13 2012,ORL,2012-11-13,11-14-2012,2012-13
8697,Mon Jan 14 2013,7:00p,Orlando Magic,91,Washington Wizards,120,Box Score,,14648,,Jan 14 2013,WAS,2013-01-14,01-15-2013,2012-13
8804,Mon Jan 28 2013,8:00p,Charlotte Bobcats,85,Chicago Bulls,93,Box Score,,21308,,Jan 28 2013,CHI,2013-01-28,01-29-2013,2012-13
9175,Fri Mar 8 2013,10:30p,Houston Rockets,94,Golden State Warriors,88,Box Score,,19596,,Mar 8 2013,GSW,2013-03-08,03-09-2013,2012-13
9183,Sat Mar 9 2013,10:30p,Milwaukee Bucks,103,Golden State Warriors,93,Box Score,,19596,,Mar 9 2013,GSW,2013-03-09,03-10-2013,2012-13
2763,Fri Dec 28 2012,7:00p,Orlando Magic,97,Washington Wizards,105,Box Score,,15789,,Dec 28 2012,WAS,2012-12-28,12-29-2012,2012-13
9197,Mon Mar 11 2013,10:30p,New York Knicks,63,Golden State Warriors,92,Box Score,,19596,,Mar 11 2013,GSW,2013-03-11,03-12-2013,2012-13
2750,Wed Dec 26 2012,7:00p,Cleveland Cavaliers,87,Washington Wizards,84,Box Score,,13846,,Dec 26 2012,WAS,2012-12-26,12-27-2012,2012-13
9215,Wed Mar 13 2013,10:30p,Detroit Pistons,97,Golden State Warriors,105,Box Score,,19596,,Mar 13 2013,GSW,2013-03-13,03-14-2013,2012-13
9116,Fri Mar 1 2013,7:00p,New York Knicks,96,Washington Wizards,88,Box Score,,20308,,Mar 1 2013,WAS,2013-03-01,03-02-2013,2012-13
2729,Sat Dec 22 2012,7:00p,Detroit Pistons,96,Washington Wizards,87,Box Score,,13104,,Dec 22 2012,WAS,2012-12-22,12-23-2012,2012-13
2695,Tue Dec 18 2012,7:00p,Atlanta Hawks,100,Washington Wizards,95,Box Score,OT,15123,,Dec 18 2012,WAS,2012-12-18,12-19-2012,2012-13
2666,Fri Dec 14 2012,7:00p,Los Angeles Lakers,102,Washington Wizards,96,Box Score,,20308,,Dec 14 2012,WAS,2012-12-14,12-15-2012,2012-13
2610,Fri Dec 7 2012,7:30p,Washington Wizards,95,Atlanta Hawks,104,Box Score,,13067,,Dec 7 2012,ATL,2012-12-07,12-08-2012,2012-13
9134,Sun Mar 3 2013,6:00p,Philadelphia 76ers,87,Washington Wizards,90,Box Score,,17370,,Mar 3 2013,WAS,2013-03-03,03-04-2013,2012-13
2622,Sat Dec 8 2012,7:00p,Golden State Warriors,101,Washington Wizards,97,Box Score,,15176,,Dec 8 2012,WAS,2012-12-08,12-09-2012,2012-13
2590,Tue Dec 4 2012,7:00p,Miami Heat,101,Washington Wizards,105,Box Score,,17761,,Dec 4 2012,WAS,2012-12-04,12-05-2012,2012-13
9474,Wed Feb 20 2013,10:30p,Phoenix Suns,98,Golden State Warriors,108,Box Score,,19596,,Feb 20 2013,GSW,2013-02-20,02-21-2013,2012-13
9180,Sat Mar 9 2013,8:00p,Charlotte Bobcats,87,Washington Wizards,104,Box Score,,16357,,Mar 9 2013,WAS,2013-03-09,03-10-2013,2012-13
2599,Wed Dec 5 2012,8:00p,Denver Nuggets,104,Atlanta Hawks,108,Box Score,,14101,,Dec 5 2012,ATL,2012-12-05,12-06-2012,2012-13
9488,Fri Feb 22 2013,10:30p,San Antonio Spurs,101,Golden State Warriors,107,Box Score,OT,19596,,Feb 22 2013,GSW,2013-02-22,02-23-2013,2012-13
9208,Wed Mar 13 2013,7:00p,Milwaukee Bucks,93,Washington Wizards,106,Box Score,,14506,,Mar 13 2013,WAS,2013-03-13,03-14-2013,2012-13
8823,Thu Jan 31 2013,8:00p,Memphis Grizzlies,89,Oklahoma City Thunder,106,Box Score,,18203,,Jan 31 2013,OKC,2013-01-31,02-01-2013,2012-13
2660,Thu Dec 13 2012,7:30p,Charlotte Bobcats,90,Atlanta Hawks,113,Box Score,,13090,,Dec 13 2012,ATL,2012-12-13,12-14-2012,2012-13
9344,Sat Mar 30 2013,10:30p,Portland Trail Blazers,98,Golden State Warriors,125,Box Score,,19596,,Mar 30 2013,GSW,2013-03-30,03-31-2013,2012-13
8777,Fri Jan 25 2013,8:00p,Golden State Warriors,87,Chicago Bulls,103,Box Score,,21756,,Jan 25 2013,CHI,2013-01-25,01-26-2013,2012-13
2746,Tue Dec 25 2012,8:00p,Houston Rockets,120,Chicago Bulls,97,Box Score,,22310,,Dec 25 2012,CHI,2012-12-25,12-26-2012,2012-13
9370,Sat Feb 2 2013,10:30p,Phoenix Suns,93,Golden State Warriors,113,Box Score,,19596,,Feb 2 2013,GSW,2013-02-02,02-03-2013,2012-13
9440,Tue Feb 12 2013,10:30p,Houston Rockets,116,Golden State Warriors,107,Box Score,,19596,,Feb 12 2013,GSW,2013-02-12,02-13-2013,2012-13
8672,Fri Jan 11 2013,7:30p,Utah Jazz,95,Atlanta Hawks,103,Box Score,,12064,,Jan 11 2013,ATL,2013-01-11,01-12-2013,2012-13
9161,Wed Mar 6 2013,10:30p,Sacramento Kings,83,Golden State Warriors,87,Box Score,,19596,,Mar 6 2013,GSW,2013-03-06,03-07-2013,2012-13
2646,Tue Dec 11 2012,9:30p,Los Angeles Clippers,94,Chicago Bulls,89,Box Score,,21571,,Dec 11 2012,CHI,2012-12-11,12-12-2012,2012-13
8626,Fri Jan 4 2013,8:00p,Philadelphia 76ers,85,Oklahoma City Thunder,109,Box Score,,18203,,Jan 4 2013,OKC,2013-01-04,01-05-2013,2012-13
1916,Fri Nov 9 2012,7:00p,Brooklyn Nets,107,Orlando Magic,68,Box Score,,17532,,Nov 9 2012,ORL,2012-11-09,11-10-2012,2012-13
8613,Wed Jan 2 2013,8:00p,Brooklyn Nets,110,Oklahoma City Thunder,93,Box Score,,18203,,Jan 2 2013,OKC,2013-01-02,01-03-2013,2012-13
1886,Sun Nov 4 2012,6:00p,Phoenix Suns,94,Orlando Magic,115,Box Score,,17022,,Nov 4 2012,ORL,2012-11-04,11-05-2012,2012-13
10479,Thu Apr 4 2013,9:30p,San Antonio Spurs,88,Oklahoma City Thunder,100,Box Score,,18203,,Apr 4 2013,OKC,2013-04-04,04-05-2013,2012-13
8699,Mon Jan 14 2013,8:00p,Atlanta Hawks,58,Chicago Bulls,97,Box Score,,21430,,Jan 14 2013,CHI,2013-01-14,01-15-2013,2012-13
2573,Sat Dec 1 2012,8:00p,Philadelphia 76ers,88,Chicago Bulls,93,Box Score,,21607,,Dec 1 2012,CHI,2012-12-01,12-02-2012,2012-13
10571,Wed Apr 17 2013,8:00p,Washington Wizards,92,Chicago Bulls,95,Box Score,,22421,,Apr 17 2013,CHI,2013-04-17,04-18-2013,2012-13
8773,Fri Jan 25 2013,7:00p,Minnesota Timberwolves,101,Washington Wizards,114,Box Score,,14095,,Jan 25 2013,WAS,2013-01-25,01-26-2013,2012-13
9228,Fri Mar 15 2013,10:30p,Chicago Bulls,113,Golden State Warriors,95,Box Score,,19596,,Mar 15 2013,GSW,2013-03-15,03-16-2013,2012-13
8785,Sat Jan 26 2013,7:00p,Chicago Bulls,73,Washington Wizards,86,Box Score,,20308,,Jan 26 2013,WAS,2013-01-26,01-27-2013,2012-13
2626,Sat Dec 8 2012,8:00p,New York Knicks,85,Chicago Bulls,93,Box Score,,21852,,Dec 8 2012,CHI,2012-12-08,12-09-2012,2012-13
8802,Mon Jan 28 2013,7:00p,Sacramento Kings,96,Washington Wizards,94,Box Score,,13422,,Jan 28 2013,WAS,2013-01-28,01-29-2013,2012-13
2588,Mon Dec 3 2012,10:30p,Orlando Magic,102,Golden State Warriors,94,Box Score,,18117,,Dec 3 2012,GSW,2012-12-03,12-04-2012,2012-13
8720,Wed Jan 16 2013,10:30p,Miami Heat,92,Golden State Warriors,75,Box Score,,19596,,Jan 16 2013,GSW,2013-01-16,01-17-2013,2012-13
2708,Wed Dec 19 2012,7:30p,Oklahoma City Thunder,100,Atlanta Hawks,92,Box Score,,16284,,Dec 19 2012,ATL,2012-12-19,12-20-2012,2012-13
8663,Wed Jan 9 2013,8:00p,Minnesota Timberwolves,84,Oklahoma City Thunder,106,Box Score,,18203,,Jan 9 2013,OKC,2013-01-09,01-10-2013,2012-13
2579,Sat Dec 1 2012,10:30p,Indiana Pacers,92,Golden State Warriors,103,Box Score,,18623,,Dec 1 2012,GSW,2012-12-01,12-02-2012,2012-13
9288,Sat Mar 23 2013,10:30p,Washington Wizards,92,Golden State Warriors,101,Box Score,,19596,,Mar 23 2013,GSW,2013-03-23,03-24-2013,2012-13
9303,Mon Mar 25 2013,10:30p,Los Angeles Lakers,103,Golden State Warriors,109,Box Score,,19596,,Mar 25 2013,GSW,2013-03-25,03-26-2013,2012-13
8751,Mon Jan 21 2013,4:00p,Los Angeles Clippers,99,Golden State Warriors,106,Box Score,,19596,,Jan 21 2013,GSW,2013-01-21,01-22-2013,2012-13
9319,Wed Mar 27 2013,10:30p,Sacramento Kings,105,Golden State Warriors,98,Box Score,,19596,,Mar 27 2013,GSW,2013-03-27,03-28-2013,2012-13
8599,Tue Jan 1 2013,6:00p,Dallas Mavericks,103,Washington Wizards,94,Box Score,,14456,,Jan 1 2013,WAS,2013-01-01,01-02-2013,2012-13
2674,Sat Dec 15 2012,7:00p,Golden State Warriors,115,Atlanta Hawks,93,Box Score,,15145,,Dec 15 2012,ATL,2012-12-15,12-16-2012,2012-13
8621,Fri Jan 4 2013,7:00p,Brooklyn Nets,115,Washington Wizards,113,Box Score,2OT,16006,,Jan 4 2013,WAS,2013-01-04,01-05-2013,2012-13
9145,Mon Mar 4 2013,10:30p,Toronto Raptors,118,Golden State Warriors,125,Box Score,,19596,,Mar 4 2013,GSW,2013-03-04,03-05-2013,2012-13
8645,Mon Jan 7 2013,7:00p,Oklahoma City Thunder,99,Washington Wizards,101,Box Score,,16917,,Jan 7 2013,WAS,2013-01-07,01-08-2013,2012-13
8684,Sat Jan 12 2013,7:00p,Atlanta Hawks,83,Washington Wizards,93,Box Score,,15331,,Jan 12 2013,WAS,2013-01-12,01-13-2013,2012-13
8728,Fri Jan 18 2013,7:00p,Toronto Raptors,101,Philadelphia 76ers,108,Box Score,OT,16574,,Jan 18 2013,PHI,2013-01-18,01-19-2013,2012-13
8787,Sat Jan 26 2013,8:00p,Brooklyn Nets,106,Houston Rockets,119,Box Score,,18236,,Jan 26 2013,HOU,2013-01-26,01-27-2013,2012-13
2688,Mon Dec 17 2012,7:00p,Minnesota Timberwolves,93,Orlando Magic,102,Box Score,,16992,,Dec 17 2012,ORL,2012-12-17,12-18-2012,2012-13
10181,Tue May 7 2013,10:30p,Memphis Grizzlies,99,Oklahoma City Thunder,93,Box Score,,18203,,May 7 2013,OKC,2013-05-07,05-08-2013,2012-13
8654,Tue Jan 8 2013,8:00p,Los Angeles Lakers,112,Houston Rockets,125,Box Score,,18135,,Jan 8 2013,HOU,2013-01-08,01-09-2013,2012-13
2679,Sat Dec 15 2012,8:00p,Brooklyn Nets,82,Chicago Bulls,83,Box Score,,21866,,Dec 15 2012,CHI,2012-12-15,12-16-2012,2012-13
10554,Sun Apr 14 2013,7:00p,Sacramento Kings,100,Houston Rockets,121,Box Score,,18138,,Apr 14 2013,HOU,2013-04-14,04-15-2013,2012-13
9470,Wed Feb 20 2013,8:00p,Oklahoma City Thunder,119,Houston Rockets,122,Box Score,,18224,,Feb 20 2013,HOU,2013-02-20,02-21-2013,2012-13
10176,Sun May 5 2013,2:00p,Memphis Grizzlies,91,Oklahoma City Thunder,93,Box Score,,18203,,May 5 2013,OKC,2013-05-05,05-06-2013,2012-13
10606,Sat Apr 27 2013,3:00p,Brooklyn Nets,134,Chicago Bulls,142,Box Score,3OT,21758,,Apr 27 2013,CHI,2013-04-27,04-28-2013,2012-13
10505,Sun Apr 7 2013,8:00p,Utah Jazz,97,Golden State Warriors,90,Box Score,,19596,,Apr 7 2013,GSW,2013-04-07,04-08-2013,2012-13
9224,Fri Mar 15 2013,8:00p,Orlando Magic,104,Oklahoma City Thunder,117,Box Score,,18203,,Mar 15 2013,OKC,2013-03-15,03-16-2013,2012-13
2070,Thu Nov 29 2012,10:30p,Denver Nuggets,105,Golden State Warriors,106,Box Score,,17627,,Nov 29 2012,GSW,2012-11-29,11-30-2012,2012-13
1898,Tue Nov 6 2012,8:00p,Orlando Magic,93,Chicago Bulls,99,Box Score,,21216,,Nov 6 2012,CHI,2012-11-06,11-07-2012,2012-13
9212,Wed Mar 13 2013,8:00p,Utah Jazz,87,Oklahoma City Thunder,110,Box Score,,18203,,Mar 13 2013,OKC,2013-03-13,03-14-2013,2012-13
2698,Tue Dec 18 2012,8:00p,Boston Celtics,89,Chicago Bulls,100,Box Score,,21825,,Dec 18 2012,CHI,2012-12-18,12-19-2012,2012-13
9476,Thu Feb 21 2013,8:00p,Miami Heat,86,Chicago Bulls,67,Box Score,,22640,,Feb 21 2013,CHI,2013-02-21,02-22-2013,2012-13
9184,Sun Mar 10 2013,1:00p,Boston Celtics,79,Oklahoma City Thunder,91,Box Score,,18203,,Mar 10 2013,OKC,2013-03-10,03-11-2013,2012-13
2731,Sat Dec 22 2012,8:00p,Memphis Grizzlies,96,Houston Rockets,121,Box Score,,18029,,Dec 22 2012,HOU,2012-12-22,12-23-2012,2012-13
9316,Wed Mar 27 2013,8:00p,Washington Wizards,80,Oklahoma City Thunder,103,Box Score,,18203,,Mar 27 2013,OKC,2013-03-27,03-28-2013,2012-13
1959,Wed Nov 14 2012,8:00p,New Orleans Hornets,96,Houston Rockets,100,Box Score,,14535,,Nov 14 2012,HOU,2012-11-14,11-15-2012,2012-13
9294,Sun Mar 24 2013,7:00p,Portland Trail Blazers,83,Oklahoma City Thunder,103,Box Score,,18203,,Mar 24 2013,OKC,2013-03-24,03-25-2013,2012-13
9211,Wed Mar 13 2013,8:00p,Phoenix Suns,81,Houston Rockets,111,Box Score,,18132,,Mar 13 2013,HOU,2013-03-13,03-14-2013,2012-13
9256,Tue Mar 19 2013,8:00p,Denver Nuggets,114,Oklahoma City Thunder,104,Box Score,,18203,,Mar 19 2013,OKC,2013-03-19,03-20-2013,2012-13
10616,Mon Apr 29 2013,10:30p,Oklahoma City Thunder,103,Houston Rockets,105,Box Score,,18081,,Apr 29 2013,HOU,2013-04-29,04-30-2013,2012-13
2710,Wed Dec 19 2012,8:00p,Philadelphia 76ers,103,Houston Rockets,125,Box Score,,15266,,Dec 19 2012,HOU,2012-12-19,12-20-2012,2012-13
2048,Mon Nov 26 2012,8:00p,Milwaukee Bucks,93,Chicago Bulls,92,Box Score,,21485,,Nov 26 2012,CHI,2012-11-26,11-27-2012,2012-13
10564,Mon Apr 15 2013,8:00p,Sacramento Kings,95,Oklahoma City Thunder,104,Box Score,,18203,,Apr 15 2013,OKC,2013-04-15,04-16-2013,2012-13
10173,Fri May 3 2013,10:30p,Oklahoma City Thunder,103,Houston Rockets,94,Box Score,,18357,,May 3 2013,HOU,2013-05-03,05-04-2013,2012-13
10598,Wed Apr 24 2013,8:00p,Houston Rockets,102,Oklahoma City Thunder,105,Box Score,,18203,,Apr 24 2013,OKC,2013-04-24,04-25-2013,2012-13
10512,Tue Apr 9 2013,8:00p,Toronto Raptors,101,Chicago Bulls,98,Box Score,,21487,,Apr 9 2013,CHI,2013-04-09,04-10-2013,2012-13
10462,Tue Apr 2 2013,7:00p,Chicago Bulls,86,Washington Wizards,90,Box Score,,17319,,Apr 2 2013,WAS,2013-04-02,04-03-2013,2012-13
2574,Sat Dec 1 2012,8:00p,Utah Jazz,116,Houston Rockets,124,Box Score,,14432,,Dec 1 2012,HOU,2012-12-01,12-02-2012,2012-13
2738,Sun Dec 23 2012,5:00p,Minnesota Timberwolves,91,New York Knicks,94,Box Score,,19033,,Dec 23 2012,NYK,2012-12-23,12-24-2012,2012-13
2587,Mon Dec 3 2012,9:00p,Los Angeles Clippers,105,Utah Jazz,104,Box Score,,19067,,Dec 3 2012,UTA,2012-12-03,12-04-2012,2012-13
2603,Wed Dec 5 2012,9:00p,Orlando Magic,81,Utah Jazz,87,Box Score,,18078,,Dec 5 2012,UTA,2012-12-05,12-06-2012,2012-13
8762,Wed Jan 23 2013,8:00p,Denver Nuggets,105,Houston Rockets,95,Box Score,,16867,,Jan 23 2013,HOU,2013-01-23,01-24-2013,2012-13
2593,Tue Dec 4 2012,8:00p,Los Angeles Lakers,105,Houston Rockets,107,Box Score,,18052,,Dec 4 2012,HOU,2012-12-04,12-05-2012,2012-13
10194,Wed May 15 2013,10:30p,Memphis Grizzlies,88,Oklahoma City Thunder,84,Box Score,,18203,,May 15 2013,OKC,2013-05-15,05-16-2013,2012-13
1627,Wed Oct 31 2012,8:00p,Sacramento Kings,87,Chicago Bulls,93,Box Score,,21313,,Oct 31 2012,CHI,2012-10-31,11-01-2012,2012-13
9195,Mon Mar 11 2013,9:00p,Detroit Pistons,90,Utah Jazz,103,Box Score,,18568,,Mar 11 2013,UTA,2013-03-11,03-12-2013,2012-13
9521,Wed Feb 27 2013,8:00p,Milwaukee Bucks,110,Houston Rockets,107,Box Score,,15463,,Feb 27 2013,HOU,2013-02-27,02-28-2013,2012-13
1628,Wed Oct 31 2012,9:00p,Dallas Mavericks,94,Utah Jazz,113,Box Score,,17634,,Oct 31 2012,UTA,2012-10-31,11-01-2012,2012-13
10487,Fri Apr 5 2013,9:00p,New Orleans Hornets,83,Utah Jazz,95,Box Score,,18023,,Apr 5 2013,UTA,2013-04-05,04-06-2013,2012-13
10601,Thu Apr 25 2013,9:30p,Brooklyn Nets,76,Chicago Bulls,79,Box Score,,21672,,Apr 25 2013,CHI,2013-04-25,04-26-2013,2012-13
10460,Mon Apr 1 2013,9:00p,Portland Trail Blazers,102,Utah Jazz,112,Box Score,,18336,,Apr 1 2013,UTA,2013-04-01,04-02-2013,2012-13
10513,Tue Apr 9 2013,8:00p,Phoenix Suns,98,Houston Rockets,101,Box Score,,16673,,Apr 9 2013,HOU,2013-04-09,04-10-2013,2012-13
8611,Wed Jan 2 2013,8:00p,New Orleans Hornets,92,Houston Rockets,104,Box Score,,18198,,Jan 2 2013,HOU,2013-01-02,01-03-2013,2012-13
9171,Fri Mar 8 2013,8:00p,Utah Jazz,88,Chicago Bulls,89,Box Score,,21842,,Mar 8 2013,CHI,2013-03-08,03-09-2013,2012-13
10528,Thu Apr 11 2013,8:00p,New York Knicks,111,Chicago Bulls,118,Box Score,OT,22464,,Apr 11 2013,CHI,2013-04-11,04-12-2013,2012-13
10168,Wed May 1 2013,10:30p,Houston Rockets,107,Oklahoma City Thunder,100,Box Score,,18203,,May 1 2013,OKC,2013-05-01,05-02-2013,2012-13
2751,Wed Dec 26 2012,7:30p,Detroit Pistons,119,Atlanta Hawks,126,Box Score,2OT,15182,,Dec 26 2012,ATL,2012-12-26,12-27-2012,2012-13
2038,Sat Nov 24 2012,10:30p,Minnesota Timberwolves,85,Golden State Warriors,96,Box Score,,19084,,Nov 24 2012,GSW,2012-11-24,11-25-2012,2012-13
2774,Sat Dec 29 2012,7:00p,Indiana Pacers,100,Atlanta Hawks,109,Box Score,,16558,,Dec 29 2012,ATL,2012-12-29,12-30-2012,2012-13
2018,Wed Nov 21 2012,10:30p,Brooklyn Nets,93,Golden State Warriors,102,Box Score,,18374,,Nov 21 2012,GSW,2012-11-21,11-22-2012,2012-13
10537,Fri Apr 12 2013,8:00p,Memphis Grizzlies,82,Houston Rockets,78,Box Score,,18163,,Apr 12 2013,HOU,2013-04-12,04-13-2013,2012-13
1873,Fri Nov 2 2012,10:30p,Memphis Grizzlies,104,Golden State Warriors,94,Box Score,,19596,,Nov 2 2012,GSW,2012-11-02,11-03-2012,2012-13
10516,Tue Apr 9 2013,10:30p,Minnesota Timberwolves,89,Golden State Warriors,105,Box Score,,19596,,Apr 9 2013,GSW,2013-04-09,04-10-2013,2012-13
8708,Tue Jan 15 2013,8:00p,Los Angeles Clippers,117,Houston Rockets,109,Box Score,,16823,,Jan 15 2013,HOU,2013-01-15,01-16-2013,2012-13
10492,Sat Apr 6 2013,7:00p,Indiana Pacers,85,Washington Wizards,104,Box Score,,19360,,Apr 6 2013,WAS,2013-04-06,04-07-2013,2012-13
2794,Mon Dec 31 2012,8:00p,Phoenix Suns,96,Oklahoma City Thunder,114,Box Score,,18203,,Dec 31 2012,OKC,2012-12-31,01-01-2013,2012-13
10578,Wed Apr 17 2013,8:00p,Milwaukee Bucks,95,Oklahoma City Thunder,89,Box Score,,18203,,Apr 17 2013,OKC,2013-04-17,04-18-2013,2012-13
10591,Sun Apr 21 2013,10:30p,Houston Rockets,91,Oklahoma City Thunder,120,Box Score,,18203,,Apr 21 2013,OKC,2013-04-21,04-22-2013,2012-13
8713,Wed Jan 16 2013,7:30p,Brooklyn Nets,95,Atlanta Hawks,109,Box Score,,15029,,Jan 16 2013,ATL,2013-01-16,01-17-2013,2012-13
2791,Mon Dec 31 2012,5:00p,Miami Heat,112,Orlando Magic,110,Box Score,OT,19311,,Dec 31 2012,ORL,2012-12-31,01-01-2013,2012-13
2648,Wed Dec 12 2012,7:00p,Atlanta Hawks,86,Orlando Magic,80,Box Score,,16992,,Dec 12 2012,ORL,2012-12-12,12-13-2012,2012-13
1991,Sun Nov 18 2012,7:00p,Golden State Warriors,109,Oklahoma City Thunder,119,Box Score,,18203,,Nov 18 2012,OKC,2012-11-18,11-19-2012,2012-13
9380,Mon Feb 4 2013,8:00p,Dallas Mavericks,91,Oklahoma City Thunder,112,Box Score,,18203,,Feb 4 2013,OKC,2013-02-04,02-05-2013,2012-13
2012,Wed Nov 21 2012,7:30p,Los Angeles Clippers,111,Oklahoma City Thunder,117,Box Score,OT,18203,,Nov 21 2012,OKC,2012-11-21,11-22-2012,2012-13
2050,Mon Nov 26 2012,8:00p,Charlotte Bobcats,69,Oklahoma City Thunder,114,Box Score,,18203,,Nov 26 2012,OKC,2012-11-26,11-27-2012,2012-13
2749,Wed Dec 26 2012,7:00p,New Orleans Hornets,97,Orlando Magic,94,Box Score,,18846,,Dec 26 2012,ORL,2012-12-26,12-27-2012,2012-13
10169,Thu May 2 2013,9:00p,Brooklyn Nets,95,Chicago Bulls,92,Box Score,,21810,,May 2 2013,CHI,2013-05-02,05-03-2013,2012-13
2067,Wed Nov 28 2012,8:00p,Houston Rockets,98,Oklahoma City Thunder,120,Box Score,,18203,,Nov 28 2012,OKC,2012-11-28,11-29-2012,2012-13
8687,Sat Jan 12 2013,8:00p,Phoenix Suns,97,Chicago Bulls,81,Box Score,,21874,,Jan 12 2013,CHI,2013-01-12,01-13-2013,2012-13
2736,Sat Dec 22 2012,10:30p,Los Angeles Lakers,118,Golden State Warriors,115,Box Score,OT,19596,,Dec 22 2012,GSW,2012-12-22,12-23-2012,2012-13
2739,Sun Dec 23 2012,6:00p,Utah Jazz,97,Orlando Magic,93,Box Score,,17721,,Dec 23 2012,ORL,2012-12-23,12-24-2012,2012-13
2079,Fri Nov 30 2012,8:00p,Utah Jazz,94,Oklahoma City Thunder,106,Box Score,,18203,,Nov 30 2012,OKC,2012-11-30,12-01-2012,2012-13
1917,Fri Nov 9 2012,7:00p,Milwaukee Bucks,101,Washington Wizards,91,Box Score,,14531,,Nov 9 2012,WAS,2012-11-09,11-10-2012,2012-13
1876,Sat Nov 3 2012,7:00p,Boston Celtics,89,Washington Wizards,86,Box Score,,20308,,Nov 3 2012,WAS,2012-11-03,11-04-2012,2012-13
9457,Tue Feb 19 2013,7:00p,Toronto Raptors,96,Washington Wizards,88,Box Score,,13923,,Feb 19 2013,WAS,2013-02-19,02-20-2013,2012-13
9277,Fri Mar 22 2013,8:00p,Cleveland Cavaliers,78,Houston Rockets,116,Box Score,,15694,,Mar 22 2013,HOU,2013-03-22,03-23-2013,2012-13
2654,Wed Dec 12 2012,8:00p,Washington Wizards,93,Houston Rockets,99,Box Score,,13351,,Dec 12 2012,HOU,2012-12-12,12-13-2012,2012-13
8680,Fri Jan 11 2013,10:30p,Portland Trail Blazers,97,Golden State Warriors,103,Box Score,,19596,,Jan 11 2013,GSW,2013-01-11,01-12-2013,2012-13
9481,Fri Feb 22 2013,7:00p,Denver Nuggets,113,Washington Wizards,119,Box Score,,16527,,Feb 22 2013,WAS,2013-02-22,02-23-2013,2012-13
2706,Wed Dec 19 2012,7:00p,Washington Wizards,83,Orlando Magic,90,Box Score,,16893,,Dec 19 2012,ORL,2012-12-19,12-20-2012,2012-13
10566,Mon Apr 15 2013,10:30p,San Antonio Spurs,106,Golden State Warriors,116,Box Score,,19596,,Apr 15 2013,GSW,2013-04-15,04-16-2013,2012-13
8666,Wed Jan 9 2013,10:30p,Memphis Grizzlies,94,Golden State Warriors,87,Box Score,,19596,,Jan 9 2013,GSW,2013-01-09,01-10-2013,2012-13
9492,Sat Feb 23 2013,7:00p,Houston Rockets,103,Washington Wizards,105,Box Score,,20308,,Feb 23 2013,WAS,2013-02-23,02-24-2013,2012-13
9292,Sun Mar 24 2013,7:00p,San Antonio Spurs,95,Houston Rockets,96,Box Score,,18245,,Mar 24 2013,HOU,2013-03-24,03-25-2013,2012-13
8630,Sat Jan 5 2013,7:00p,Boston Celtics,89,Atlanta Hawks,81,Box Score,,19159,,Jan 5 2013,ATL,2013-01-05,01-06-2013,2012-13
9396,Wed Feb 6 2013,8:00p,Golden State Warriors,98,Oklahoma City Thunder,119,Box Score,,18203,,Feb 6 2013,OKC,2013-02-06,02-07-2013,2012-13
2772,Fri Dec 28 2012,10:30p,Philadelphia 76ers,89,Golden State Warriors,96,Box Score,,19596,,Dec 28 2012,GSW,2012-12-28,12-29-2012,2012-13
9520,Wed Feb 27 2013,7:00p,Detroit Pistons,96,Washington Wizards,95,Box Score,,14298,,Feb 27 2013,WAS,2013-02-27,02-28-2013,2012-13
9135,Sun Mar 3 2013,7:00p,Dallas Mavericks,103,Houston Rockets,136,Box Score,,18123,,Mar 3 2013,HOU,2013-03-03,03-04-2013,2012-13
