,TEAM,AWAY,GAMEDAY_FMT,SEASON_FMT,AWAYSCORE,HOMESCORE,HOMEWIN,HOME_OFFRTG,AWAY_OFFRTG,HOME_DEFRTG,AWAY_DEFRTG
110,DEN,DAL,2008-03-27,2007,105,118,1,,,,
111,DEN,IND,2007-11-27,2007,112,110,0,,,,
112,SAC,CLE,2007-11-09,2007,93,91,0,,,,
113,MIA,SEA,2007-11-14,2007,104,95,0,,,,
114,MIA,PHX,2007-11-09,2007,106,101,0,,,,
115,CLE,SAS,2008-02-13,2007,112,105,0,,,,
116,PHI,TOR,2008-01-19,2007,95,99,1,13.60816326530612,13.825531914893615,11.665306122448976,12.76595744680851
117,SAC,MIL,2007-12-10,2007,93,96,1,,,,
118,SAC,PHI,2007-12-28,2007,92,80,0,,,,
119,MIA,CHA,2007-11-04,2007,90,88,0,,,,
120,PHI,ATL,2007-12-03,2007,88,79,0,,,,
121,MIA,DET,2007-11-01,2007,91,80,0,,,,
122,SAC,UTA,2007-12-04,2007,107,117,1,,,,
123,CLE,HOU,2008-02-19,2007,93,85,0,,,,
124,PHI,NYK,2008-02-20,2007,84,124,1,20.014583333333334,6.775,10.725,8.799999999999997
125,NOH,MEM,2007-12-07,2007,116,118,1,,,,
126,NOH,SEA,2007-12-09,2007,88,91,1,,,,
127,SAC,SEA,2007-11-06,2007,98,104,1,,,,
128,SAC,MIN,2007-11-10,2007,93,100,1,,,,
129,CLE,WAS,2008-02-22,2007,89,90,1,32.240625,17.0,19.2375,29.46100000000001
130,BOS,DET,2007-12-19,2007,87,85,0,,,,
131,CLE,MEM,2008-02-24,2007,89,109,1,,,,
132,SAC,MEM,2008-03-26,2007,106,107,1,37.46938775510204,12.3125,36.734693877551024,10.916666666666664
133,MIA,NOH,2008-04-02,2007,106,77,0,,,,
134,DEN,TOR,2008-03-14,2007,105,137,1,,,,
135,SAC,TOR,2008-03-16,2007,100,106,1,,,,
136,BOS,CLE,2007-12-02,2007,70,80,1,,,,
137,BOS,LAC,2008-02-06,2007,100,111,1,,,,
138,MIA,BOS,2007-11-30,2007,95,85,0,,,,
139,DEN,LAL,2008-04-28,2007,107,101,0,19.148936170212764,17.140625,22.251063829787235,16.609375
140,BOS,SAS,2008-02-10,2007,90,98,1,,,,
141,BOS,NYK,2008-02-13,2007,103,111,1,19.634782608695648,3.64375,6.521739130434782,11.458333333333332
142,NOH,MIN,2007-11-26,2007,103,94,0,,,,
143,SAC,NJN,2008-01-22,2007,94,128,1,,,,
144,MIA,WAS,2007-12-13,2007,104,91,0,,,,
145,CLE,MIN,2008-02-29,2007,84,92,1,,,,
146,BOS,CLE,2008-02-27,2007,87,92,1,22.448979591836732,9.567021276595746,13.357142857142858,18.085106382978726
147,DEN,LAL,2008-04-26,2007,102,84,0,19.148936170212764,17.140625,22.251063829787235,16.609375
148,BOS,CHA,2008-02-29,2007,100,108,1,11.785714285714285,20.40816326530612,10.685714285714287,19.836734693877553
149,SAC,ATL,2008-02-20,2007,107,119,1,,,,
150,NOH,CHA,2008-01-18,2007,84,112,1,,,,
151,SAC,SEA,2008-02-06,2007,105,92,0,13.0,6.0,9.0,9.0
152,SAC,CHI,2008-02-02,2007,101,105,1,,,,
153,SAC,NOH,2008-02-01,2007,103,112,1,,,,
154,PHI,BOS,2007-12-05,2007,113,103,0,,,,
