,DRPM_adv_h,Net_ORPM_adv_a,weighted_ORPM_a,weighted_DRPM_h,weighted_ORPM_h,Winpercent_h,ORPM_adv_h,weighted_DRPM_a,Net_ORPM_adv_h,Winpercent_a,DRtg_a,+/-_a,FTA_h,OREB%_h,PIE_h,+/-_h,DRtg_h,DEFRTG_h,Def_Adv_h,Previous_Win_h
228,0.5329951092607422,0.5903330044660905,0.5699188228521488,0.3879676197362129,0.11508251754155675,0.352941176,0.2725818473447039,0.3219774012147283,0.3879628383358391,0.266666667,0.6844452378268782,0.26529335979560964,0.3347788528817399,0.0,0.20923951952031333,0.4482018366350191,0.560522167496305,0.13081803858110125,0.4392734302631896,0.3333333333333333
229,0.2936286305571905,0.6315052414546006,0.34806716866981485,0.06721257280587567,0.489828497136266,0.4375,0.5708806642332256,0.4799553116914948,0.5044755336770738,0.14285714300000002,0.7652128806191197,0.23048916449684764,0.5839425245086902,0.13640452501022218,0.2009834814095488,0.4217639322569599,0.6327351765342321,0.08674127899099154,0.5697629137459564,0.6666666666666666
230,0.26613018650004866,0.847702702246405,0.7045960972473877,0.00018128057828725733,0.6783071716674496,0.571428571,0.486855537210031,0.4679209075781899,0.6074243788033781,0.214285714,0.7452226884192861,0.2426615848934021,0.8126872175519725,0.489551142795949,0.3927774584566349,0.6247867485558403,0.5085751121345469,0.3443985097339196,0.663826851777001,0.3333333333333333
231,0.6430611642523579,0.6913013685687808,0.6700621978013931,0.2861223285047161,0.7438577678943934,0.4,0.5368977850465001,0.0,0.8680204928357733,0.5,0.3108959567553901,0.7249102578421183,0.3034558079635855,0.06811331176517006,0.19749513280187206,0.5946329779140662,0.6120930408053231,0.31187622849228,0.4789708534601089,0.16666666666666666
232,0.5374667636594938,0.5973310937353713,0.8862000796296116,0.7097239134042621,0.9067922484239924,0.6875,0.5102960843971905,0.6347903860852747,0.6442647646552191,0.266666667,0.6401790483749022,0.2671369936352481,0.6136736640482658,0.1765715080604028,0.2373893546972777,0.7629864265235506,0.3725449563425382,0.1844264616078927,0.5076516066943578,0.16666666666666666
233,0.767543194188868,0.2730011039417028,0.4705238440037264,0.9369568677395828,0.4834943626657077,0.933333333,0.5064852593309906,0.4018704793618469,0.5390627610158711,0.466666667,0.496533625951603,0.5391028629177469,0.5722311805301893,0.20992959017873264,0.18469982230425636,0.7969341713083476,0.2402008492293819,0.20459367620956947,0.7151115370715458,0.5
234,0.6273983733474582,0.26942738606862915,0.5228973311146252,0.9999999999999998,0.7209182980020721,0.7692307690000001,0.5990104834437235,0.7452032533050835,0.4949699196794453,0.5625,0.6767850663530993,0.42069804716269865,0.4467682020551745,0.12059595202398805,0.2357301793577113,0.6990072820183401,0.3157131315810953,0.114976791721671,0.5400648056289601,0.5
235,0.2535553337665352,0.7036916490085872,0.6899719872825893,0.2817249549366631,0.0,0.4,0.15501400635870527,0.7746142874035928,0.109253768926659,0.8666666670000001,0.30461579396018945,0.8235907054688508,0.3824710532261931,0.2025379063045796,0.18015945997057514,0.4952207343801751,0.6132493071865898,0.21070386078808492,0.5882115326402179,0.16666666666666666
236,0.4660164558118142,0.6213775302114781,0.4817874714835768,0.23024438639326944,0.2705735803426271,0.375,0.3943930544295251,0.298211474769641,0.4796012840234206,0.428571429,0.3920503910053249,0.6662538160045199,0.5674291248244747,0.18715642178910544,0.24051856519532366,0.5074713953261594,0.6280368385987306,0.4304390410083891,0.6201696538181563,0.0
237,0.5799858939248662,0.8005274578670825,1.0,0.4115030675255193,0.457927590313536,0.307692308,0.2289637951567681,0.2515312796757869,0.5987648825988632,0.6875,0.3627650396798908,0.8376412859006744,0.4807940358976183,0.02481517861758776,0.13552594083104744,0.459423927106763,0.5862029856492481,0.07756043623633825,0.5650862740787058,0.5
238,0.4333202703120607,0.7307099436122979,0.9292828286212996,0.4803642858880605,0.5455355227999101,0.428571429,0.3081263470893052,0.6137237452639392,0.46833597420370504,0.8,0.29000953055849993,0.7366032811547631,0.4738329396062238,0.033519825453127094,0.16042557535808882,0.450671987107565,0.5400340474734626,0.09551278922064016,0.5982560713244228,0.16666666666666666
239,0.6774354685310903,0.3094064328876953,0.132585058675586,0.5026402354209026,0.4429433884021954,0.125,0.6551791648633047,0.1477692983587221,0.6413418628667593,0.533333333,0.5025069707922424,0.4951418040619469,0.5059042591125469,0.18831212665918348,0.4589933452644913,0.4578091686873752,0.6098748990490109,0.17987908374399394,0.5851317173041654,0.5
240,0.3109267165487766,0.5487730866922224,0.4271786667430117,0.3219774012147283,0.5699188228521488,0.25,0.5713700780545685,0.7001239681171751,0.4390179225909896,0.5,0.6091457758614858,0.3143075951981872,0.4255862955999707,0.16163645925728246,0.19628425723669032,0.3149739812502035,0.7539198668178766,0.22306701539467225,0.6530764561779725,0.16666666666666666
