,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x
2118,0.16662107868597714,0.3054428210493648,0.4037193276852563,0.7649890811967075,0.406779661,0.3452183420666014,0.1506339348868963,0.5323509230068858,0.644067797,0.8358699674888717,0.5252964403356277,0.3650470634163868,0.6215276950166441,0.484899367109961,0.724807687094115,0.5269730792040916,0.10568783068783068,0.6799869648346198,0.036259348739495774,0.5931647978895277
2119,0.4511166167304764,0.3625720471905843,0.34800329579931577,0.7149897271767662,0.508474576,0.4416413302767707,0.30210004403227964,0.7370644392732311,0.564516129,0.8302156158924616,0.5422864269440478,0.39645505088836175,0.3365015483560787,0.4824656578966498,0.3300329664309901,0.573354409841192,0.19047619047619047,0.34574457736706576,0.013589743589743585,0.24608576577142835
2120,0.4705714757514259,0.4597605377018524,0.6208371331214206,0.4614663794449556,0.5166666670000001,0.7940846109050614,0.3901276561104969,0.5592237187779773,0.578947368,0.6810439612070875,0.552703591563136,0.40006710367674825,0.6402845472880099,0.558189961309473,0.5917863457964531,0.4639381730715298,0.06741379310344829,0.3839425645512278,0.018928571428571427,0.5547926084815527
2121,0.18299146017988185,0.17875261597649822,0.44906334987575147,0.6400737118268114,0.379310345,0.7124361182128363,0.10832879427758567,0.8114373670932228,0.666666667,0.933280470421776,0.6166225667446734,0.523011700811672,0.5240445995071851,0.4644138160875448,0.7715025665180608,0.469136166364872,0.2708333333333333,0.478954485365649,0.0624642857142857,0.5414210218692641
2122,0.9073899486621151,0.6487540381725626,0.18794629265538465,0.8075486524775859,0.606557377,0.058750029684159766,0.62903440668206,0.6652623674510388,0.661016949,0.6602104372194322,0.4039647523415172,0.6113200287413272,0.6282466220358409,0.5127395636590243,0.4902256043838137,0.5998484031450073,0.10594439117929053,0.4919707249431992,0.1688725490196078,0.4852009329318226
2123,0.6099880129665539,0.3828451740112751,0.18821407922422034,0.6760757608851082,0.35593220299999995,0.2693082575017769,0.5013574118183203,0.8753001212154259,0.6315789470000001,0.6073877422425938,0.5037926342807912,0.3999980045635629,0.6043285063402065,0.5752894856822799,0.6189469955796012,0.4908426780955996,0.08482142857142858,0.4275341272644376,0.036136363636363626,0.3861202892846881
2124,0.8581427955974921,0.7872559833673469,0.7899425327030728,0.3447435298454265,0.75,0.8881867216283865,0.6597216871881858,0.3246499996192257,0.33898305100000004,0.552178443754072,0.4696761170685741,0.6163127783901072,0.41686473738627056,0.5209316999020521,0.5086534874023659,0.5767694704991381,0.3175843253968253,0.4802270418958629,0.1890153061224489,0.4738424292330293
2125,0.4031332454413344,0.6253250983650418,0.7362007418677098,0.3830752857440928,0.483333333,0.6014365869336197,0.5180310150341754,0.1423532280096103,0.293103448,0.3685928650763911,0.6080041680883939,0.6228826673397938,0.5006229035868694,0.5899800660034904,0.6312657553774883,0.3887392770536466,0.15700141442715698,0.5906158942690599,0.1377475247524752,0.5560530283640602
2126,0.21394568622180252,0.4351436584467652,0.5191880347815186,0.4300704395438588,0.6034482760000001,0.3565043731065622,0.4876189664531596,0.31921021649640235,0.33898305100000004,0.2376629094179701,0.4637077820884704,0.4011293880086912,0.6189787799137788,0.6078224866689095,0.5752030202025736,0.5665753542481049,0.2504553734061931,0.5233402905922417,0.06775857338820299,0.6112963683189754
2127,0.5750364393544487,0.44278980143895214,0.4201058778952558,0.3023981244852144,0.644067797,0.5571526858065428,0.7046581085350241,0.7124361182128363,0.372881356,0.18299146017988185,0.40154906291821296,0.5396537456767405,0.5803764993014621,0.7096549831045205,0.33805870860062137,0.6253215588543657,0.339484126984127,0.7749222737214672,0.5427931034482757,0.4394515021207308
