,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x,FG%_h,PIE_a,PACE_h,DREB%_h,DEFRTG_a,3P%_a,TO RATIO_h,PF_a,ORB%_h,3P_h
2605,0.3602586028504081,0.4803517662205311,0.44851665336957824,0.6511923146559138,0.1,0.2918787286573859,0.38417638431629375,0.3919425451926472,0.333333333,0.5821313999933111,0.7061980414371909,0.7439217437555359,0.5626219514107585,0.6221810597560755,0.4775816978443818,0.4135365546358182,0.3940092165898617,0.3463349945168463,0.1593642611683848,0.4882000317691874,0.4547723966687608,0.7208063916255232,0.4502620717019071,0.3077957781050564,0.3295044402394828,0.3527843813796232,0.3951890034364261,0.6051468575196051,0.4641424550665234,0.3115108973277708
2606,0.8488206461437366,0.6509698793415686,0.494726203113591,0.4417917220833108,0.666666667,0.5841228884829152,0.7030127945105326,0.5943731204244035,0.4,0.4599274458411857,0.5375389231770216,0.5151605795276697,0.5285403748642836,0.58874648155438,0.5618361149384675,0.5042988942829807,0.2920962199312715,0.2500654841554056,0.02321099290780141,0.6552310053233309,0.4752212081413823,0.7559518728279255,0.2969308600832471,0.25783333333333336,0.2291240713010425,0.5768066005888463,0.3976063829787234,0.3722158028722432,0.4104744700719553,0.565546669326907
2607,0.9897377937395514,0.7509932200469202,0.3610221224040047,0.7350007443122842,0.5555555560000001,0.2781440542866219,0.6396670913235055,0.5482635736344212,0.5555555560000001,0.722190212550383,0.4709628047640616,0.4270844392346205,0.5661936064803713,0.5437311226008955,0.7514289102835214,0.598523403439459,0.16059027777777776,0.7608865704222579,0.02306735751295336,0.5559645286528728,0.7265672216235415,0.6740367094262709,0.1828613646890752,0.13247668393782389,0.1115727202630354,0.7468421009640764,0.15889464594127808,0.7473658075981758,0.4772743562999211,0.6234478469686894
2608,0.7974766838798399,0.5517548567998782,0.44402710213170654,0.4311865952466305,0.7,0.6314759846444004,0.6644362267678239,0.7402657613356121,0.5555555560000001,0.4824811161000109,0.4532563052783599,0.3490137324973317,0.8581408866225274,0.5728830355041701,0.5841966928564203,0.6221404318837884,0.16959798994974876,0.4547828756758559,0.02723984771573603,0.3733290286655868,0.6061222059165777,0.6810729125530006,0.08807414362245466,0.03680928208846991,0.07567849723477725,0.3762472194630617,0.07880710659898478,0.5998227138355595,0.4718804761872634,0.4017311667023053
2609,0.4485892724649034,0.5383296935376902,0.44537025207836406,0.5152549424475489,0.444444444,0.2665663690657314,0.5708150353570591,0.3727455790661938,0.2,0.312935331067056,0.5338645451316901,0.5371996091093513,0.32331042207282223,0.639303496185623,0.7724710810417986,0.5914660078946773,0.2905594405594405,0.4207290426808335,0.20430944055944047,0.3966587024113499,0.7675408441439069,0.6966456356169837,0.2728310137750574,0.2608993006993007,0.2328012071727156,0.4153413215672137,0.12666083916083914,0.5567944393953472,0.4847677933978122,0.4477821348349276
2610,0.722190212550383,0.6260466384062057,0.5236922518976962,0.5650994722116365,0.5,0.5482635736344212,0.5365488274612608,0.5022149520438933,0.3,0.6521769381999427,0.5475841444700685,0.5541754008582369,0.5631333475500826,0.7091594514167876,0.8239795223771242,0.4935091497795265,0.293731778425656,0.6781454249963987,0.2206124999999999,0.5327280619985093,0.5706625838692773,0.6837925648323909,0.33637465988406484,0.19739999999999994,0.24240911099076504,0.4844343956996966,0.14375,0.6609877747765096,0.2966103466854891,0.654693504261441
2611,0.4353513284092646,0.3878434927599634,0.3558186493337705,0.4483810990018895,0.333333333,0.3870042091920372,0.5717829242010339,0.6672372780412671,0.625,0.29784329012566146,0.4674815335074736,0.4213435980755548,0.5492040524856879,0.4091052629726689,0.5120356954650604,0.6461878869573937,0.20864015709376527,0.4359668664116572,0.045068027210884334,0.5200809537417395,0.4760452567014049,0.7273765833617646,0.19731351667604224,0.19982993197278914,0.12236508667856942,0.2703851387622621,0.0977891156462585,0.3705088976469111,0.4414410484008005,0.3882911236663785
2612,0.35793586302874425,0.3994064572862796,0.4442923641430008,0.5507929502052118,0.5,0.4475067980435931,0.4064020878340973,0.5557810074500581,0.636363636,0.5372328954724137,0.5230495604659721,0.3029418220529647,0.7740435078815966,0.7656704151655566,0.5937724491120295,0.5556508902792437,0.2383381924198251,0.5499643704780959,0.008198437499999997,0.4029754754995416,0.5535946844472273,0.7744059566598979,0.14022129717260146,0.12589285714285714,0.07935668680880174,0.32747925416026824,0.16171875,0.7405092802832738,0.388017058868332,0.5679294869818944
2613,0.4599274458411857,0.24016476153555685,0.2919299296582052,0.5453657382624992,0.363636364,0.5943731204244035,0.3970934810604641,0.998781277777124,0.545454545,0.6570561321334918,0.600320339718774,0.4156208022094737,0.2989780968134982,0.6023615083556502,0.4278197126398156,0.5211550671870488,0.1658163265306122,0.3539551267192568,0.030622222222222214,0.4078971028056123,0.6247054150945606,0.6816157045612959,0.24302849180998956,0.19563083900226755,0.07937671809878515,0.3693875615179884,0.2373015873015873,0.4206640814511071,0.2170434128510042,0.31461111753300297
2614,0.3653611036894289,0.26128248497224105,0.2709966126909752,0.6803478465143444,0.5,0.4031564809549626,0.3079106937930214,0.8482509519523679,0.8,0.7333291680414171,0.22184223039640927,0.44071688049430935,0.4930157787113055,0.4373162014946963,0.5114859109447704,0.7349255983335959,0.4222689075630253,0.4928762526196698,0.059861138613861366,0.5251903997423104,0.5422442669772026,0.7946351378216687,0.25709531913797085,0.23048613861386144,0.21186945448570496,0.5371029541761773,0.222029702970297,0.7202658081601484,0.4487691426590895,0.3114776817502367
