,weighted_ORPM_h,Net_ORPM_adv_h,DRPM_adv_h,Net_ORPM_adv_a,Winpercent_h,weighted_DRPM_h,ORPM_adv_h,weighted_DRPM_a,Winpercent_a,weighted_ORPM_a,DRtg_h,PIE_h,TOV%_a,DRtg_a,FG_h,+/-_h,EFG%_a,TRB_a,AST/TO_h,TS%_a_x,FG%_h,PIE_a,PACE_h,DREB%_h,DEFRTG_a,3P%_a,TO RATIO_h,PF_a,ORB%_h,3P_h,btb_h,Net_Off_adv_h,PF_h,ORtg_a,OREB%_a,REB%_a,DRB_h,FG%_a,PACE_a,+/-_a
422,0.599076287296885,0.3034949341623459,0.20493510380296354,0.7891755897564067,0.62962963,0.3717739579186773,0.31085100892412154,0.9619037503127504,0.75862069,0.9773742694486418,0.4968215987653613,0.21799704916721746,0.6718040681008322,0.34490126611919425,0.5395560713994332,0.5469170385136419,0.29589042253950626,0.4559613661049794,0.07266026978167149,0.5436656347260009,0.5462074336817623,0.4536438422506048,0.2887833533757086,0.18509235123089374,0.22993088281260746,0.3941694058075649,0.11824024822695035,0.5073985888543848,0.4345765694115825,0.3824363098704696,0.0,0.2770321921095874,0.6411508810681662,0.5947499020685599,0.3350837047912561,0.35343223921900224,0.5201199742339444,0.5225258968832933,0.2546309254773583,0.6328274134071217
423,0.6683824010096733,0.4385537890765481,0.40420777907728944,0.3094509396394517,0.571428571,0.5762219153286142,0.7284806989606096,0.7678063571740353,0.642857143,0.211421003088454,0.9446344236431172,0.6566701853358025,0.4058862003946334,0.6088350385360203,0.2013517579256855,0.4295647649843176,0.1929386577186501,0.21540042934790485,0.06202749140893469,0.29003339523868793,0.4408107517348405,0.26898076056795445,0.5706275308581626,0.5270785928875059,0.3191218491119323,0.3340340220334662,0.5312500000000001,0.1006637650634598,0.4073789140729697,0.2636759867639813,0.0,0.521912205535523,0.3619622609999193,0.26517489373485204,0.1959853495000276,0.3115813438486941,0.3635957888288267,0.2628190336457413,0.2886510411447049,0.3945463537584674
424,0.6021305703568169,0.5929053485799358,0.6062755461755297,0.4742452106146599,0.5,0.6279289514146746,0.4958921156453093,0.41537785906361535,0.571428571,0.6103463390661982,0.5544558283647699,0.1202357861682154,0.40507364773504173,0.4717414594104578,0.4004499736777506,0.47227802870162605,0.2747424871554567,0.5647421551296701,0.015567226890756297,0.7107853851629895,0.3157013679578796,0.3776959237119651,0.12697623640034145,0.07150606077790025,0.2420331983947842,0.5987374046204457,0.1299107142857143,0.6383221321717139,0.40377206578365576,0.27170956678878666,0.0,0.22004130291827867,0.4754402697454239,0.6514380008064073,0.2053102809509108,0.18828259610138573,0.4499471742048475,0.7509713529884259,0.1780663841673021,0.5697447232172088
425,0.6989212925788341,0.6929167180755924,0.7074934398076747,0.3617205644127234,0.7777777779999999,0.7274615915372631,0.6053974243779144,0.3124747119219138,0.518518519,0.4881264438230051,0.42745276871720594,0.10421321799136654,0.4856471597608578,0.5915569891857404,0.5526157247431167,0.7579607069094132,0.25183966776259625,0.5200670074393571,0.012609722645534895,0.5682375657400618,0.5676819484616339,0.3893919643420306,0.2039695874699864,0.16193587294900352,0.13686132331833398,0.4782110255699776,0.09187985751295337,0.6771559533887851,0.28129975350976943,0.4330619409830251,0.0,0.13495911378657754,0.6620547320237108,0.5403747706973059,0.06168288901674977,0.23026222230763324,0.7729124761817345,0.5607956605842644,0.18216421805588584,0.35524077125374665
426,0.4519967960729136,0.570284381995552,0.6618930778907253,0.23582710083214756,0.535714286,0.6472928760977078,0.6569595342794871,0.3235067203162573,0.214285714,0.13807772751393965,0.4704624149463913,0.8537704069855608,0.4393821779361517,0.6872114719468724,0.235115185850769,0.4520233763015449,0.1610154104713175,0.4437872239678637,0.2102056100217864,0.4974714386733829,0.12006186698014835,0.18505981540272906,0.6753761606665639,0.5880372029626328,0.30276851884982103,0.5300872532889513,0.3157552083333334,0.6555528595447061,0.3115188902665481,0.2509366804490951,0.0,0.6935650210161759,0.3360630551388134,0.4558042143323663,0.12723647710717262,0.10222451454204162,0.2276858415218601,0.5020074641608223,0.17444550641793194,0.4469547397211625
427,0.2026875553399195,0.4115125857036845,0.2995069434870822,1.0,0.310344828,0.0,0.10134377766995968,0.4009861130258357,0.464285714,1.0,0.07266780711957754,0.34076091321278384,0.21231145045689465,0.3683516211013789,0.44223678290836604,0.4947754520319737,0.20481777069533885,0.4763388812073888,0.11204265475823834,0.4534447620826349,0.4112263455540681,0.3556136182813488,0.3835195184299591,0.2914267129790174,0.14470171070255386,0.4116706523315655,0.16425883507853406,0.2134419684278347,0.3917749770180776,0.4324948115471163,0.0,0.2874391237070432,0.553106419342673,0.4078376765386413,0.17261219792865362,0.235747073888118,0.5125787458333442,0.5099940985126705,0.1687218643339292,0.7056831603842149
428,0.6269901161844229,0.7291356234842007,0.910425378491352,0.2558317792463804,0.5555555560000001,1.0,0.5273288733798941,0.17914924301729634,0.266666667,0.5723323694246346,0.3707543391640814,0.2343438532643601,0.4935080558513374,0.4858420699784303,0.2902609366973097,0.5200632267570675,0.09981256841279827,0.3939846312314842,0.036849493520203024,0.4626319421355979,0.4985659308442453,0.3182493576509518,0.2217969334699484,0.17627615865171964,0.09033629231187056,0.3079467220124219,0.22916666666666666,0.32109427659751555,0.382580979791731,0.2599625486761057,0.0,0.18940858184583675,0.4373751344415479,0.4671373582891734,0.1122782962762226,0.10169174032049748,0.3019830670026409,0.4388321339576921,0.09518705449805652,0.5756047195137829
429,0.22579157111812356,0.4378349906703518,0.3438875904122017,0.7744190597096263,0.384615385,0.059549138743080876,0.3133576419106193,0.3717739579186773,0.607142857,0.599076287296885,0.5566461878292961,0.11156826082345124,0.4836622493159884,0.6179728313970552,0.16050448521369665,0.4027069052867617,0.205823308577523,0.4220319041714493,0.09266206482593037,0.5921872883288872,0.2920970790286205,0.3860981516606303,0.18506685871661416,0.10592622479904744,0.18679852636989014,0.5243007337465155,0.0,0.598001038208944,0.44175560358013055,0.2710241540650144,0.0,0.19534661257014474,0.33822684616619625,0.562273903130437,0.23872246890670906,0.25853325869041943,0.17810599820196893,0.6297348520849695,0.1628837385748089,0.5021441387153238
430,0.7470557822144872,0.5551483734843248,0.5349922301149795,0.5132247818249751,0.620689655,0.6871472737602871,0.4950091015895874,0.617162813530328,0.5862068970000001,0.7570375790353123,0.3870475974795806,0.19501119972684905,0.541211960835975,0.5665638555274622,0.6981891509896929,0.635822864271864,0.12145958558976624,0.650016614731488,0.024861743993371998,0.6514324693055753,0.7595085466200329,0.2938919571493543,0.1826977932968162,0.16203239783126194,0.14839774508297673,0.5139180952182308,0.18251540492957746,0.4438034669911224,0.4832156279777032,0.41041113760097453,0.0,0.2120696720734438,0.6293594543927715,0.6586332941132594,0.038358266206367474,0.06607134332102069,0.5569904337570405,0.7230336890914804,0.08105389479920448,0.5401297629340968
431,0.4389552851051196,0.3935109796315665,0.3520673360755377,0.5464691334351027,0.44,0.3514275482487833,0.493479244516103,0.6472928760977078,0.517241379,0.4519967960729136,0.4860087115165738,0.13573260809511373,0.4474313217467421,0.6102656494085216,0.0,0.4611151125818315,0.14224092480863965,0.10019365184321094,0.06455102889212218,0.22194020603141976,0.04697757798474195,0.33508446584487084,0.1296272159961989,0.07782151805245102,0.1836846983213669,0.3471055575699927,0.06748012367491167,0.16914839979633897,0.23253543537418955,0.1525058295808811,0.0,0.18890588918980575,0.19948181984632415,0.2320129405801936,0.35854704367362605,0.2768750362778675,0.049577094601271084,0.26713564415207103,0.15276934369822104,0.389702771770576
